town_code,town,fiscal_year,rebuilt_from_actual_prior,rebuilt_chained,csde_entitlement,diff,alliance_or_psd
1,Andover,2019,2132334.0,2132334.0,2132334,0.0,False
2,Ansonia,2019,16722773.0,16722773.0,16722772,1.0,True
3,Ashford,2019,3604370.0,3604370.0,3604370,0.0,False
4,Avon,2019,643198.0,643198.0,643198,0.0,False
5,Barkhamsted,2019,1576089.0,1576089.0,1576089,0.0,False
6,Beacon Falls,2019,4021856.0,4021856.0,4021856,0.0,False
7,Berlin,2019,6037874.0,6037874.0,6037873,1.0,False
8,Bethany,2019,1877633.0,1877633.0,1877614,19.0,False
9,Bethel,2019,7914298.0,7914298.0,7914298,0.0,False
10,Bethlehem,2019,1184697.0,1184697.0,1184697,0.0,False
11,Bloomfield,2019,6225402.0,6225402.0,6225402,0.0,True
12,Bolton,2019,2795888.0,2795888.0,2795888,0.0,False
13,Bozrah,2019,1222673.0,1222673.0,1222673,0.0,False
14,Branford,2019,2288422.0,2288422.0,2288420,2.0,False
15,Bridgeport,2019,182231356.0,182231356.0,182231356,0.0,True
16,Bridgewater,2019,23079.0,23079.0,23079,0.0,False
17,Bristol,2019,45264509.0,45264509.0,45264509,0.0,True
18,Brookfield,2019,1143823.0,1143823.0,1143823,0.0,False
19,Brooklyn,2019,6982946.0,6982946.0,6982946,0.0,False
20,Burlington,2019,4118158.0,4118158.0,4118158,0.0,False
21,Canaan,2019,149720.0,149720.0,149720,0.0,False
22,Canterbury,2019,4256272.0,4256272.0,4256271,1.0,False
23,Canton,2019,3391332.0,3391332.0,3391332,0.0,False
24,Chaplin,2019,1761810.0,1761810.0,1761810,0.0,False
25,Cheshire,2019,9343892.0,9343892.0,9343892,0.0,False
26,Chester,2019,678413.0,678413.0,678413,0.0,False
27,Clinton,2019,5684253.0,5684253.0,5684253,0.0,False
28,Colchester,2019,12670600.0,12670600.0,12670600,0.0,False
29,Colebrook,2019,444933.0,444933.0,444933,0.0,False
30,Columbia,2019,2409369.0,2409369.0,2409369,0.0,False
31,Cornwall,2019,7337.0,7337.0,7337,0.0,False
32,Coventry,2019,8267802.0,8267802.0,8267796,6.0,False
33,Cromwell,2019,4700116.0,4700116.0,4700116,0.0,False
34,Danbury,2019,32292216.0,32292216.0,32292216,0.0,True
35,Darien,2019,412765.0,412765.0,412765,0.0,False
36,Deep River,2019,1670330.0,1670330.0,1670330,0.0,False
37,Derby,2019,8084161.0,8084161.0,8084161,0.0,True
38,Durham,2019,3457206.0,3457206.0,3457203,3.0,False
39,Eastford,2019,1003971.0,1003971.0,1003971,0.0,False
40,East Granby,2019,1450524.0,1450524.0,1450524,0.0,False
41,East Haddam,2019,3578190.0,3578190.0,3578190,0.0,False
42,East Hampton,2019,7129144.0,7129144.0,7129144,0.0,False
43,East Hartford,2019,49985676.0,49985676.0,49985676,0.0,True
44,East Haven,2019,19629837.0,19629837.0,19629836,1.0,True
45,East Lyme,2019,6449136.0,6449136.0,6449135,1.0,False
46,Easton,2019,174582.0,174582.0,174581,1.0,False
47,East Windsor,2019,5669122.0,5669122.0,5669122,0.0,True
48,Ellington,2019,9699782.0,9699782.0,9699780,2.0,False
49,Enfield,2019,28752343.0,28752343.0,28752343,0.0,False
50,Essex,2019,105065.0,105065.0,105065,0.0,False
51,Fairfield,2019,1091333.0,1091333.0,1091333,0.0,False
52,Farmington,2019,943541.0,943541.0,943541,0.0,False
53,Franklin,2019,829080.0,829080.0,829080,0.0,False
54,Glastonbury,2019,5865227.0,5865227.0,5865227,0.0,False
55,Goshen,2019,80959.0,80959.0,80959,0.0,False
56,Granby,2019,5391340.0,5391340.0,5391340,0.0,False
57,Greenwich,2019,175368.0,175368.0,175368,0.0,False
58,Griswold,2019,10797966.0,10797966.0,10797966,0.0,False
59,Groton,2019,25040045.0,25040045.0,25040045,0.0,True
60,Guilford,2019,2156390.0,2156390.0,2156390,0.0,False
61,Haddam,2019,1979790.0,1979790.0,1979790,0.0,False
62,Hamden,2019,27385775.0,27385775.0,27385775,0.0,True
63,Hampton,2019,1167198.0,1167198.0,1167198,0.0,False
64,Hartford,2019,201834646.0,201834646.0,201834648,-2.0,True
65,Hartland,2019,1175504.0,1175504.0,1175504,0.0,False
66,Harwinton,2019,2557930.0,2557930.0,2557930,0.0,False
67,Hebron,2019,6366187.0,6366187.0,6366187,0.0,False
68,Kent,2019,26020.0,26020.0,26020,0.0,False
69,Killingly,2019,15574402.0,15574402.0,15574402,0.0,True
70,Killingworth,2019,1837860.0,1837860.0,1837860,0.0,False
71,Lebanon,2019,4916815.0,4916815.0,4916815,0.0,False
72,Ledyard,2019,11686862.0,11686862.0,11686862,0.0,False
73,Lisbon,2019,3146060.0,3146060.0,3146060,0.0,False
74,Litchfield,2019,1330818.0,1330818.0,1330818,0.0,False
75,Lyme,2019,61597.0,61597.0,61597,0.0,False
76,Madison,2019,417669.0,417669.0,417669,0.0,False
77,Manchester,2019,34936996.0,34936996.0,34936996,0.0,True
78,Mansfield,2019,9675277.0,9675277.0,9675272,5.0,False
79,Marlborough,2019,2989094.0,2989094.0,2989091,3.0,False
80,Meriden,2019,60909850.0,60909850.0,60909850,0.0,True
81,Middlebury,2019,822086.0,822086.0,822086,0.0,False
82,Middlefield,2019,1945055.0,1945055.0,1945055,0.0,False
83,Middletown,2019,19843506.0,19843506.0,19843506,0.0,True
84,Milford,2019,10069109.0,10069109.0,10069109,0.0,False
85,Monroe,2019,5690756.0,5690756.0,5690756,0.0,False
86,Montville,2019,12628739.0,12628739.0,12628739,0.0,False
87,Morris,2019,103296.0,103296.0,103296,0.0,False
88,Naugatuck,2019,30516109.0,30516109.0,30516109,0.0,True
89,New Britain,2019,87784760.0,87784760.0,87784760,0.0,True
90,New Canaan,2019,345922.0,345922.0,345922,0.0,False
91,New Fairfield,2019,3841431.0,3841431.0,3841431,0.0,False
92,New Hartford,2019,3014801.0,3014801.0,3014801,0.0,False
93,New Haven,2019,155146663.0,155146663.0,155146663,0.0,True
94,Newington,2019,13092670.0,13092670.0,13092670,0.0,False
95,New London,2019,26298574.0,26298574.0,26298574,0.0,True
96,New Milford,2019,11425015.0,11425015.0,11425015,0.0,False
97,Newtown,2019,4565640.0,4565640.0,4565640,0.0,False
98,Norfolk,2019,25863.0,25863.0,25863,0.0,False
99,North Branford,2019,7605127.0,7605127.0,7605127,0.0,False
100,North Canaan,2019,1892849.0,1892849.0,1892849,0.0,False
101,North Haven,2019,3868905.0,3868905.0,3868905,0.0,False
