town_code,district_code,town,fiscal_year,source_sheet,source_file,source_type,count_date,drg,wealth_decile,alliance_flag,psd_flag,reform_flag,pic_rank_raw,pic_score,resident_students,frpl_count,frpl_pct,frpl_weighted,conc_pov_threshold,conc_pov_threshold_students,excess_frpl_students,excess_frpl_weighted,conc_pov_students_above_threshold,ell_count,ell_pct,ell_weighted,need_students,engl_grand_list_years,engl_avg,population_year,population,engl_per_capita,engl_median,engl_threshold,engl_factor,mhi_year,mhi,mhi_median,mhi_threshold,mhi_factor,wealth_adj_factor,base_aid_ratio,pic_bar_adjustment,final_base_aid_ratio,rsd_students,rsd_grades,rsd_per_pupil_bonus,rsd_bonus,endowed_students,endowed_grades,endowed_bonus,foundation,base_formula_aid,fully_funded_grant,fully_funded_grant_hh,fy2017_actual,fy2018_statutory_pre_holdback,prior_year_entitlement,phase_in_gap_base,phase_in_start_base,hh_floor_fy2017,grant_adjustment,ff_greater_than_prior,phase_in_amount,entitlement_no_hh,entitlement,derived_columns,backend_resident_students,backend_frpl_count,backend_ell_count,backend_engl_per_capita,backend_mhi,backend_fully_funded_grant,backend_final_base_aid_ratio,backend_pic_score
1,1,Andover,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,C,,,,,53,240.19623944054447,465.01,71,0.1526848884970215,,0.75,,,0.0,,2.0,0.0043009827745639,,,,,,,111920.95,,,,,97426,,,,,,,,,,,,,,,11525.0,,1683798,,2331185,2214625.75,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,465.01,71,2,111920.95,97426,1683798,,240.19623944054447
2,2,Ansonia,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,H,,,,,10,334.0152683086659,2534.61,1655,0.6529604160008837,,0.75,,,0.0,,85.0,0.0335357313353928,,,,,,,69182.22,,,,,43144,,,,,,,,,,,,,,,11525.0,,23263940,,16473543,16473543.0,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,2534.61,1655,85,69182.22,43144,23263940,,334.0152683086659
3,3,Ashford,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,E,,,,,61,237.2785484980003,551.78,161,0.2917829569756062,,0.75,,,0.0,,6.0,0.0108738990177244,,,,,,,96354.57,,,,,77250,,,,,,,,,,,,,,,11525.0,,2872999,,3859564,3666585.8,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,551.78,161,6,96354.57,77250,2872999,,237.2785484980003
4,4,Avon,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,B,,,,,150,169.10182575595616,3311.1,115,0.0347316601733562,,0.75,,,0.0,,92.0,0.027785328138685,,,,,,,199032.43,,,,,116565,,,,,,,,,,,,,,,11525.0,,387171,,731456,694883.2,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,3311.1,115,92,199032.43,116565,387171,,169.10182575595616
5,5,Barkhamsted,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,C,,,,,104,218.8033815001932,531.82,48,0.0902561016885412,,0.75,,,0.0,,0.0,0.0,,,,,,,131708.36,,,,,81792,,,,,,,,,,,,,,,11525.0,,1677996,,1633686,1552001.7,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,531.82,48,0,131708.36,81792,1677996,,218.8033815001932
6,6,Beacon Falls,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,E,,,,,45,254.0122228110337,874.85,150,0.1714579642224381,,0.75,,,0.0,,7.0,0.0080013716637137,,,,,,,105878.07,,,,,87273,,,,,,,,,,,,,,,11525.0,,3797791,,4067920,3864524.0,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,874.85,150,7,105878.07,87273,3797791,,254.0122228110337
7,7,Berlin,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,D,,,,,82,225.22239603824596,2870.26,363,0.1264693790806407,,0.75,,,0.0,,80.0,0.0278720394668078,,,,,,,151809.36,,,,,87518,,,,,,,,,,,,,,,11525.0,,5888147,,6215712,5904926.4,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,2870.26,363,80,151809.36,87518,5888147,,225.22239603824596
8,8,Bethany,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,C,,,,,108,217.12877940238764,792.99,53,0.0668356473599919,,0.75,,,0.0,,4.0,0.0050441998007541,,,,,,,146452.37,,,,,97500,,,,,,,,,,,,,,,11525.0,,1551860,,2000209,1900198.55,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,792.99,53,4,146452.37,97500,1551860,,217.12877940238764
9,9,Bethel,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,D,,,,,72,230.3512383477328,2949.87,614,0.2081447657015394,,0.75,,,0.0,,129.0,0.0437307406767077,,,,,,,141144.02,,,,,85377,,,,,,,,,,,,,,,11525.0,,7924373,,8087732,7683345.4,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,2949.87,614,129,141144.02,85377,7924373,,230.3512383477328
10,10,Bethlehem,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,C,,,,,109,216.8485989860389,339.62,64,0.1884459101348566,,0.75,,,0.0,,0.0,0.0,,,,,,,149511.44,,,,,88616,,,,,,,,,,,,,,,11525.0,,764509,,1278838,1214896.1,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,339.62,64,0,149511.44,88616,764509,,216.8485989860389
11,11,Bloomfield,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,G,,,,,25,282.81488404588856,2309.65,1135,0.4914164483796246,,0.75,,,0.0,,33.0,0.0142878791158833,,,,,,,136842.77,,,,,73519,,,,,,,,,,,,,,,11525.0,,8179816,,6160837,6160837.0,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,2309.65,1135,33,136842.77,73519,8179816,,282.81488404588856
