town_code,entitlement,alliance_setaside,comp_ed_setaside,local_entitlement,previous_local_payments,sped_prior_year_adjustment,town,fiscal_year,district_code
1,2004782,0,0,2004782,1002392,0,ANDOVER,2026,1
2,21332353,6300685,0,15031668,7515834,65460,ANSONIA,2026,2
3,3459062,0,0,3459062,1729532,5084,ASHFORD,2026,3
4,909358,0,0,909358,454680,99588,AVON,2026,4
5,1494242,0,0,1494242,747122,0,BARKHAMSTED,2026,5
6,4080374,0,0,4080374,2040188,0,BEACON FALLS,2026,6
7,7237662,0,0,7237662,3618832,24932,BERLIN,2026,7
8,1764574,0,0,1764574,882288,-440,BETHANY,2026,8
9,10047664,0,0,10047664,5023832,14145,BETHEL,2026,9
10,1218610,0,0,1218610,609306,0,BETHLEHEM,2026,10
11,8047852,2637507,0,5410345,2705172,1743,BLOOMFIELD,2026,11
12,2683216,0,0,2683216,1341608,-5068,BOLTON,2026,12
13,1190095,0,0,1190095,595048,0,BOZRAH,2026,13
14,3772866,0,0,3772866,1886434,-60029,BRANFORD,2026,14
15,212796357,48601013,0,164195344,82097672,-11834,BRIDGEPORT,2026,15
16,187715,0,0,187715,93858,0,BRIDGEWATER,2026,16
17,55102941,13445627,0,41657314,20828658,-209136,BRISTOL,2026,17
18,1379178,0,0,1379178,689590,1149,BROOKFIELD,2026,18
19,6969690,0,0,6969690,3484846,14558,BROOKLYN,2026,19
20,4699203,0,0,4699203,2349602,0,BURLINGTON,2026,20
21,125752,0,0,125752,62876,0,CANAAN,2026,21
22,4004835,0,0,4004835,2002418,-22618,CANTERBURY,2026,22
23,4068515,0,0,4068515,2034258,-22587,CANTON,2026,23
24,1652147,0,0,1652147,826074,0,CHAPLIN,2026,24
25,9439993,0,0,9439993,4719996,-47024,CHESHIRE,2026,25
26,991921,0,0,991921,495960,0,CHESTER,2026,26
27,5192084,0,0,5192084,2596042,8221,CLINTON,2026,27
28,12040218,0,0,12040218,6020110,9434,COLCHESTER,2026,28
29,403912,0,0,403912,201956,0,COLEBROOK,2026,29
30,2316189,0,0,2316189,1158094,-2993,COLUMBIA,2026,30
31,32190,0,0,32190,16096,0,CORNWALL,2026,31
32,7952911,0,0,7952911,3976456,13769,COVENTRY,2026,32
33,6177563,0,0,6177563,3088782,-73403,CROMWELL,2026,33
34,62336919,39478963,0,22857956,11428978,103038,DANBURY,2026,34
35,540833,0,0,540833,270416,60062,DARIEN,2026,35
36,1676105,0,0,1676105,838052,16142,DEEP RIVER,2026,36
37,10990454,4124765,0,6865689,3432844,-63840,DERBY,2026,37
38,3293232,0,0,3293232,1646616,0,DURHAM,2026,38
39,947176,0,0,947176,473588,0,EASTFORD,2026,39
40,2044159,0,0,2044159,1022080,-14630,EAST GRANBY,2026,40
41,3555957,0,0,3555957,1777978,3566,EAST HADDAM,2026,41
42,6960947,0,0,6960947,3480474,-56326,EAST HAMPTON,2026,42
43,70969366,29258549,0,41710817,20855408,105882,EAST HARTFORD,2026,43
44,20005957,1241832,0,18764125,9382062,82796,EAST HAVEN,2026,44
45,6076507,0,0,6076507,3038254,-11917,EAST LYME,2026,45
46,302113,0,0,302113,151056,1562,EASTON,2026,46
47,5669122,186987,0,5482135,2741068,1219,EAST WINDSOR,2026,47
48,10341646,0,0,10341646,5170824,-85101,ELLINGTON,2026,48
49,29823645,1443501,0,28380144,14190072,33181,ENFIELD,2026,49
