NAME,B19025_001E,B01003_001E,state,county,county subdivision
"Southbury town, New Haven County, Connecticut",809879500,19790,09,009,69640
"Cheshire town, New Haven County, Connecticut",1255624500,29254,09,009,14160
"Hamden town, New Haven County, Connecticut",2071777900,61523,09,009,35650
"North Branford town, New Haven County, Connecticut",572464500,14354,09,009,53890
"Seymour town, New Haven County, Connecticut",545968000,16545,09,009,67610
"Waterbury town, New Haven County, Connecticut",2115095600,109551,09,009,80070
"North Haven town, New Haven County, Connecticut",877641700,23937,09,009,54870
"Milford town, New Haven County, Connecticut",2088567700,53206,09,009,47535
"Harwinton town, Litchfield County, Connecticut",249277100,5571,09,005,37280
"Morris town, Litchfield County, Connecticut",107875300,2314,09,005,49460
"Plymouth town, Litchfield County, Connecticut",367706700,12004,09,005,60750
"Sharon town, Litchfield County, Connecticut",152414000,2736,09,005,67960
"Thomaston town, Litchfield County, Connecticut",237335500,7736,09,005,75730
"Salisbury town, Litchfield County, Connecticut",195199400,3685,09,005,66420
"Torrington town, Litchfield County, Connecticut",1017072900,35493,09,005,76570
"Cornwall town, Litchfield County, Connecticut",67683400,1362,09,005,17240
"New Milford town, Litchfield County, Connecticut",1062969400,27670,09,005,52630
"Watertown town, Litchfield County, Connecticut",800229100,22161,09,005,80490
"Colebrook town, Litchfield County, Connecticut",55310200,1633,09,005,16050
"Goshen town, Litchfield County, Connecticut",113752400,2943,09,005,32290
"Woodbury town, Litchfield County, Connecticut",453854500,9791,09,005,87910
"Bridgewater town, Litchfield County, Connecticut",109847000,1679,09,005,08210
"Canaan town, Litchfield County, Connecticut",48281100,1149,09,005,10940
"Litchfield town, Litchfield County, Connecticut",371259400,8306,09,005,43370
"Warren town, Litchfield County, Connecticut",76000900,1464,09,005,79510
"Norfolk town, Litchfield County, Connecticut",69428700,1550,09,005,53470
"North Canaan town, Litchfield County, Connecticut",91076900,3239,09,005,54030
"Roxbury town, Litchfield County, Connecticut",154106300,2271,09,005,65930
"New Hartford town, Litchfield County, Connecticut",249471900,6853,09,005,51350
"Washington town, Litchfield County, Connecticut",237170800,3517,09,005,79720
"Canton town, Hartford County, Connecticut",482178000,10336,09,003,12270
"Enfield town, Hartford County, Connecticut",1287525600,44587,09,003,25990
"Newington town, Hartford County, Connecticut",1137938500,30638,09,003,52140
"Eastford town, Windham County, Connecticut",60841200,1765,09,015,21860
"Hampton town, Windham County, Connecticut",67739300,1850,09,015,36000
"Colchester town, New London County, Connecticut",605007700,16142,09,011,15910
"New London town, New London County, Connecticut",544709700,27423,09,011,52350
"Bozrah town, New London County, Connecticut",89691200,2620,09,011,06820
"County subdivisions not defined, New London County, Connecticut",-666666666,0,09,011,00000
"Franklin town, New London County, Connecticut",74111000,1931,09,011,29910
"Lebanon town, New London County, Connecticut",257287000,7295,09,011,42390
"Waterford town, New London County, Connecticut",745551200,19427,09,011,80280
"North Stonington town, New London County, Connecticut",175731000,5276,09,011,55500
"Stonington town, New London County, Connecticut",789201700,18492,09,011,73770
"Norwich town, New London County, Connecticut",1047824500,40254,09,011,56270
"East Lyme town, New London County, Connecticut",752096200,18876,09,011,23400
"Voluntown town, New London County, Connecticut",82092600,2601,09,011,78600
"Lisbon town, New London County, Connecticut",151009900,4330,09,011,43230
"Montville town, New London County, Connecticut",558837900,19635,09,011,48900
"Lyme town, New London County, Connecticut",126164000,2454,09,011,44210
"Old Lyme town, New London County, Connecticut",346411700,7565,09,011,57040
"Redding town, Fairfield County, Connecticut",558537900,9299,09,001,63480
"New Canaan town, Fairfield County, Connecticut",2120477000,20219,09,001,50580
"New Fairfield town, Fairfield County, Connecticut",604760200,14117,09,001,50860
"Newtown town, Fairfield County, Connecticut",1339428400,28012,09,001,52980
"Weston town, Fairfield County, Connecticut",956937900,10373,09,001,83430
"County subdivisions not defined, Fairfield County, Connecticut",-666666666,0,09,001,00000
"Easton town, Fairfield County, Connecticut",437474300,7619,09,001,23890
"Bridgeport town, Fairfield County, Connecticut",2849023900,147340,09,001,08070
"Darien town, Fairfield County, Connecticut",2053530800,21392,09,001,18850
"Ridgefield town, Fairfield County, Connecticut",1880339700,25137,09,001,63970
"Shelton town, Fairfield County, Connecticut",1680185600,40783,09,001,68170
"Westport town, Fairfield County, Connecticut",2631957900,27343,09,001,83500
"Danbury town, Fairfield County, Connecticut",2473895200,83476,09,001,18500
"Sherman town, Fairfield County, Connecticut",231385700,3649,09,001,68310
"Brookfield town, Fairfield County, Connecticut",790868100,16904,09,001,08980
"Trumbull town, Fairfield County, Connecticut",1637546700,36571,09,001,77200
"Westbrook town, Middlesex County, Connecticut",327006800,6908,09,007,81680
"County subdivisions not defined, Middlesex County, Connecticut",-666666666,0,09,007,00000
"East Haddam town, Middlesex County, Connecticut",356957600,9139,09,007,22280
"Old Saybrook town, Middlesex County, Connecticut",440885200,10213,09,007,57320
"Durham town, Middlesex County, Connecticut",353361700,7349,09,007,20810
"Deep River town, Middlesex County, Connecticut",196785200,4571,09,007,19130
"Clinton town, Middlesex County, Connecticut",482747000,13167,09,007,15350
"Portland town, Middlesex County, Connecticut",426754600,9447,09,007,61800
"Haddam town, Middlesex County, Connecticut",378433500,8338,09,007,35230
"Killingworth town, Middlesex County, Connecticut",317229400,6490,09,007,40710
"Middletown town, Middlesex County, Connecticut",1595111000,47218,09,007,47360
"Middlefield town, Middlesex County, Connecticut",189883700,4427,09,007,47080
"Beacon Falls town, New Haven County, Connecticut",222784900,6069,09,009,03250
"West Haven town, New Haven County, Connecticut",1356145700,55189,09,009,82870
