"NAME","B19013_001E","B01003_001E","B17001_001E","B17001_002E","state","county","county subdivision"
"County subdivisions not defined, Fairfield County, Connecticut","-666666666","0","0","0","09","001","00000"
"Bethel town, Fairfield County, Connecticut","101481","20287","20093","768","09","001","04720"
"Bridgeport town, Fairfield County, Connecticut","50597","148529","144584","33577","09","001","08070"
"Brookfield town, Fairfield County, Connecticut","128606","17428","17324","814","09","001","08980"
"Danbury town, Fairfield County, Connecticut","74600","86197","82893","8752","09","001","18500"
"Darien town, Fairfield County, Connecticut","250001","21485","21485","1041","09","001","18850"
"Easton town, Fairfield County, Connecticut","165469","7602","7591","487","09","001","23890"
"Fairfield town, Fairfield County, Connecticut","149641","61737","56955","3240","09","001","26620"
"Greenwich town, Fairfield County, Connecticut","180447","63455","63028","3214","09","001","33620"
"Monroe town, Fairfield County, Connecticut","127995","18927","18927","614","09","001","48620"
"New Canaan town, Fairfield County, Connecticut","214977","20574","20501","538","09","001","50580"
"New Fairfield town, Fairfield County, Connecticut","129718","13640","13547","581","09","001","50860"
"Newtown town, Fairfield County, Connecticut","133991","27388","26840","920","09","001","52980"
"Norwalk town, Fairfield County, Connecticut","91434","90821","90253","8791","09","001","56060"
"Redding town, Fairfield County, Connecticut","140475","8831","8705","369","09","001","63480"
"Ridgefield town, Fairfield County, Connecticut","160258","25053","24936","844","09","001","63970"
"Shelton town, Fairfield County, Connecticut","103647","40944","40506","2421","09","001","68170"
"Sherman town, Fairfield County, Connecticut","123889","3545","3545","63","09","001","68310"
"Stamford town, Fairfield County, Connecticut","99791","134820","133893","12534","09","001","73070"
"Stratford town, Fairfield County, Connecticut","86113","52360","51962","3763","09","001","74190"
"Trumbull town, Fairfield County, Connecticut","138801","36830","36623","1604","09","001","77200"
"Weston town, Fairfield County, Connecticut","204792","10339","10339","227","09","001","83430"
"Westport town, Fairfield County, Connecticut","236892","27168","26965","868","09","001","83500"
"Wilton town, Fairfield County, Connecticut","209635","18486","18259","378","09","001","86370"
"Avon town, Hartford County, Connecticut","130268","18821","18621","946","09","003","02060"
"Berlin town, Hartford County, Connecticut","101853","20107","20040","791","09","003","04300"
"Bloomfield town, Hartford County, Connecticut","81354","21399","21096","1943","09","003","05910"
"Bristol town, Hartford County, Connecticut","73604","60733","60056","5352","09","003","08490"
"Burlington town, Hartford County, Connecticut","143038","9511","9499","161","09","003","10100"
"Canton town, Hartford County, Connecticut","100000","10131","9980","304","09","003","12270"
"East Granby town, Hartford County, Connecticut","112857","5148","5034","182","09","003","22070"
"East Hartford town, Hartford County, Connecticut","58922","50971","50428","6599","09","003","22630"
"East Windsor town, Hartford County, Connecticut","85120","11191","10979","1009","09","003","24800"
"Enfield town, Hartford County, Connecticut","86880","42480","40045","3643","09","003","25990"
"Farmington town, Hartford County, Connecticut","106773","26559","26366","1944","09","003","27600"
"Glastonbury town, Hartford County, Connecticut","130294","35061","34867","1276","09","003","31240"
"Granby town, Hartford County, Connecticut","115989","10971","10862","356","09","003","32640"
"Hartford town, Hartford County, Connecticut","37477","121562","114658","32602","09","003","37070"
"Hartland town, Hartford County, Connecticut","105921","1971","1949","31","09","003","37140"
"Manchester town, Hartford County, Connecticut","78598","59452","58740","6409","09","003","44700"
"Marlborough town, Hartford County, Connecticut","126850","6155","6038","563","09","003","45820"
"New Britain town, Hartford County, Connecticut","50379","74022","71490","14676","09","003","50440"
"Newington town, Hartford County, Connecticut","90314","30493","30304","2478","09","003","52140"
"Plainville town, Hartford County, Connecticut","72197","17514","17369","1153","09","003","60120"
"Rocky Hill town, Hartford County, Connecticut","86410","20682","20434","955","09","003","65370"
"Simsbury town, Hartford County, Connecticut","134688","24467","24120","1460","09","003","68940"
"Southington town, Hartford County, Connecticut","104963","43474","43194","2017","09","003","70550"
"South Windsor town, Hartford County, Connecticut","126996","26719","26704","1302","09","003","71390"
"Suffield town, Hartford County, Connecticut","115965","15863","13594","312","09","003","74540"
"West Hartford town, Hartford County, Connecticut","111997","64034","63021","3964","09","003","82590"
"Wethersfield town, Hartford County, Connecticut","100557","27162","27140","1463","09","003","84900"
"Windsor town, Hartford County, Connecticut","96080","29424","29140","1316","09","003","87000"
"Windsor Locks town, Hartford County, Connecticut","79678","12559","12515","932","09","003","87070"
"Barkhamsted town, Litchfield County, Connecticut","107969","3659","3659","169","09","005","02760"
"Bethlehem town, Litchfield County, Connecticut","95338","3408","3356","198","09","005","04930"
"Bridgewater town, Litchfield County, Connecticut","138272","1824","1824","57","09","005","08210"
"Canaan town, Litchfield County, Connecticut","80938","1223","1223","175","09","005","10940"
"Colebrook town, Litchfield County, Connecticut","106406","1422","1378","94","09","005","16050"
"Cornwall town, Litchfield County, Connecticut","95089","1379","1379","130","09","005","17240"
"Goshen town, Litchfield County, Connecticut","127344","3139","3139","195","09","005","32290"
"Harwinton town, Litchfield County, Connecticut","118508","5499","5481","194","09","005","37280"
"Kent town, Litchfield County, Connecticut","89348","2970","2727","98","09","005","40290"
"Litchfield town, Litchfield County, Connecticut","98286","8161","8064","432","09","005","43370"
"Morris town, Litchfield County, Connecticut","94167","2149","2149","214","09","005","49460"
"New Hartford town, Litchfield County, Connecticut","100156","6685","6668","78","09","005","51350"
"New Milford town, Litchfield County, Connecticut","93221","28074","27765","1983","09","005","52630"
"Norfolk town, Litchfield County, Connecticut","76382","1685","1676","192","09","005","53470"
"North Canaan town, Litchfield County, Connecticut","60789","3209","3049","543","09","005","54030"
"Plymouth town, Litchfield County, Connecticut","84550","11705","11572","956","09","005","60750"
"Roxbury town, Litchfield County, Connecticut","107328","2104","2099","94","09","005","65930"
