year,leaid,lea_name,agency_type,enrollment,lowest_grade_offered,highest_grade_offered,county_code
2018,0900001,UNIFIED SCHOOL DISTRICT #3,5,,,,9003
2018,0900002,Connecticut Technical High Sc,5,10645,9,12,9007
2018,0900003,UNIFIED SCHOOL DISTRICT #1,5,156,8,12,9003
2018,0900004,UNIFIED SCHOOL DISTRICT #2,5,74,7,12,9003
2018,0900005,REGIONAL SCHOOL DISTRICT 19,1,1146,9,12,9013
2018,0900007,JUMOKE ACADEMY DISTRICT,7,717,-1,12,9003
2018,0900009,ODYSSEY COMMUNITY SCHOOL DIST,7,329,0,8,9003
2018,0900010,INTEGRATED DAY CHARTER SCHOOL,7,337,-1,8,9011
2018,0900011,INTRDIST SCH FOR ARTS AND COM,7,278,6,8,9011
2018,0900014,COMMON GROUND HIGH SCHOOL DIS,7,216,9,12,9009
2018,0900015,THE BRIDGE ACADEMY DISTRICT,7,281,7,12,9001
2018,0900016,SIDE BY SIDE COMMUNITY SCHOOL,7,236,-1,8,9001
2018,0900018,EXPLORATIONS DISTRICT,7,88,9,12,9005
2018,0900023,TRAILBLAZERS ACADEMY DISTRICT,7,127,6,8,9001
2018,0900024,AMISTAD ACADEMY DISTRICT,7,1083,0,12,9009
2018,0900026,DEPARTMENT OF SOCIAL SERVICES,5,,,,9003
2018,0900027,DEPARTMENT OF MENTAL HEALTH A,5,1,12,12,9003
2018,0900028,NEW BEGINNINGS INC.,7,482,-1,8,9001
2018,0900030,ANDOVER SCHOOL DISTRICT,1,191,-1,6,9013
2018,0900031,Stamford Academy,7,152,9,12,9001
2018,0900033,Park City Prep Charter School,7,360,5,8,9001
2018,0900060,ANSONIA SCHOOL DISTRICT,1,2305,-1,12,9009
2018,0900070,AREA COOPERATIVE EDUCATIONAL,9,1874,-1,12,9009
2018,0900090,ASHFORD SCHOOL DISTRICT,1,409,-1,8,9015
2018,0900120,AVON SCHOOL DISTRICT,1,3138,-1,12,9003
2018,0900150,BARKHAMSTED SCHOOL DISTRICT,1,226,-1,6,9005
2018,0900207,Highville Charter School,7,502,-1,12,9009
2018,0900208,Bridgeport Achievement First,7,1093,0,12,9001
