year,leaid,grade,enrollment
2018,0900007,pk,61
2018,0900010,pk,34
2018,0900016,pk,38
2018,0900028,pk,46
2018,0900030,pk,37
2018,0900060,pk,109
2018,0900070,pk,4
2018,0900090,pk,46
2018,0900120,pk,58
2018,0900150,pk,20
2018,0900207,pk,110
2018,0900210,pk,51
2018,0900215,pk,36
2018,0900216,pk,67
2018,0900220,pk,59
2018,0900240,pk,19
2018,0900270,pk,100
2018,0900330,pk,319
2018,0900360,pk,10
2018,0900390,pk,24
2018,0900420,pk,135
2018,0900450,pk,986
2018,0900510,pk,308
2018,0900540,pk,44
2018,0900570,pk,117
2018,0900660,pk,49
2018,0900690,pk,25
2018,0900700,pk,873
2018,0900720,pk,21
2018,0900750,pk,100
2018,0900810,pk,59
2018,0900840,pk,97
2018,0900900,pk,38
2018,0900910,pk,163
2018,0900960,pk,98
2018,0900990,pk,64
2018,0901020,pk,279
2018,0901050,pk,105
2018,0901110,pk,44
2018,0901170,pk,9
2018,0901200,pk,32
2018,0901230,pk,54
2018,0901260,pk,318
2018,0901290,pk,206
2018,0901320,pk,57
2018,0901350,pk,56
2018,0901360,pk,1
2018,0901380,pk,17
2018,0901410,pk,30
2018,0901440,pk,77
2018,0901470,pk,246
2018,0901500,pk,36
2018,0901530,pk,198
2018,0901560,pk,109
2018,0901590,pk,14
2018,0901620,pk,56
2018,0901680,pk,46
2018,0901710,pk,170
2018,0901740,pk,87
2018,0901770,pk,190
2018,0901800,pk,29
2018,0901860,pk,185
2018,0901890,pk,17
2018,0901920,pk,1169
2018,0901950,pk,13
2018,0902010,pk,70
2018,0902040,pk,18
2018,0902070,pk,149
2018,0902130,pk,58
2018,0902160,pk,70
2018,0902190,pk,29
2018,0902220,pk,38
2018,0902280,pk,50
2018,0902310,pk,287
2018,0902340,pk,71
2018,0902370,pk,22
2018,0902400,pk,120
2018,0902490,pk,103
2018,0902520,pk,228
2018,0902550,pk,46
2018,0902580,pk,47
2018,0902640,pk,161
2018,0902670,pk,377
2018,0902700,pk,46
2018,0902730,pk,77
2018,0902760,pk,15
2018,0902790,pk,1558
2018,0902820,pk,36
2018,0902850,pk,89
2018,0902880,pk,60
2018,0902910,pk,70
2018,0902940,pk,8
2018,0902970,pk,31
2018,0903000,pk,6
2018,0903030,pk,59
2018,0903060,pk,36
2018,0903090,pk,238
2018,0903120,pk,247
2018,0903180,pk,48
2018,0903210,pk,42
2018,0903240,pk,19
2018,0903270,pk,128
2018,0903300,pk,100
2018,0903330,pk,71
2018,0903360,pk,20
2018,0903390,pk,26
2018,0903420,pk,35
2018,0903450,pk,505
2018,0903480,pk,97
2018,0903510,pk,56
2018,0903512,pk,210
2018,0903515,pk,58
2018,0903520,pk,45
2018,0903530,pk,41
2018,0903535,pk,28
2018,0903536,pk,20
2018,0903537,pk,61
2018,0903538,pk,44
2018,0903539,pk,44
2018,0903540,pk,49
2018,0903600,pk,1
2018,0903810,pk,60
2018,0903840,pk,59
2018,0903900,pk,13
2018,0903930,pk,20
2018,0903960,pk,12
2018,0903990,pk,21
2018,0904050,pk,61
2018,0904080,pk,14
2018,0904110,pk,43
2018,0904140,pk,38
2018,0904170,pk,91
2018,0904230,pk,91
2018,0904260,pk,35
2018,0904290,pk,87
2018,0904320,pk,263
2018,0904350,pk,29
2018,0904380,pk,52
2018,0904440,pk,179
2018,0904470,pk,39
2018,0904500,pk,40
2018,0904530,pk,40
2018,0904560,pk,50
2018,0904590,pk,94
2018,0904620,pk,225
2018,0904650,pk,4
2018,0904680,pk,120
2018,0904710,pk,43
2018,0904740,pk,215
2018,0904830,pk,759
2018,0904860,pk,46
2018,0904890,pk,73
2018,0904920,pk,251
2018,0904950,pk,87
2018,0904980,pk,34
2018,0905010,pk,27
2018,0905040,pk,73
2018,0905070,pk,61
2018,0905100,pk,32
2018,0905130,pk,62
2018,0905160,pk,36
2018,0905190,pk,258
2018,0905220,pk,114
2018,0905250,pk,100
2018,0905280,pk,48
2018,0905310,pk,20
2018,0905370,pk,32
2018,0900007,k,69
2018,0900009,k,36
2018,0900010,k,33
2018,0900016,k,22
2018,0900024,k,93
2018,0900028,k,53
2018,0900030,k,22
2018,0900060,k,175
2018,0900070,k,63
2018,0900090,k,36
2018,0900120,k,206
2018,0900150,k,22
2018,0900207,k,44
2018,0900208,k,96
2018,0900210,k,189
2018,0900212,k,91
2018,0900214,k,62
2018,0900215,k,36
2018,0900216,k,32
2018,0900217,k,75
2018,0900220,k,56
2018,0900221,k,76
2018,0900240,k,46
2018,0900270,k,174
2018,0900330,k,105
2018,0900360,k,46
2018,0900390,k,17
2018,0900420,k,207
2018,0900450,k,1575
2018,0900510,k,484
2018,0900540,k,153
2018,0900570,k,96
2018,0900630,k,10
2018,0900660,k,48
2018,0900690,k,101
2018,0900700,k,578
2018,0900720,k,15
2018,0900750,k,269
2018,0900780,k,29
2018,0900810,k,106
2018,0900840,k,127
2018,0900870,k,8
2018,0900900,k,45
2018,0900910,k,46
2018,0900930,k,11
2018,0900960,k,102
2018,0900990,k,131
2018,0901020,k,898
2018,0901050,k,318
2018,0901080,k,29
2018,0901110,k,83
2018,0901170,k,59
2018,0901200,k,69
2018,0901230,k,116
2018,0901260,k,454
2018,0901290,k,177
2018,0901320,k,155
2018,0901350,k,89
2018,0901360,k,2
2018,0901380,k,25
2018,0901410,k,80
2018,0901440,k,193
2018,0901470,k,321
2018,0901500,k,31
2018,0901530,k,622
2018,0901560,k,241
2018,0901590,k,13
2018,0901620,k,356
2018,0901680,k,113
2018,0901710,k,662
2018,0901740,k,136
2018,0901770,k,371
2018,0901800,k,195
2018,0901860,k,365
2018,0901890,k,11
2018,0901920,k,1401
2018,0901950,k,13
2018,0902010,k,78
2018,0902040,k,21
2018,0902070,k,174
2018,0902130,k,55
2018,0902160,k,171
2018,0902190,k,31
2018,0902220,k,57
2018,0902280,k,144
2018,0902310,k,515
2018,0902340,k,97
2018,0902370,k,45
2018,0902400,k,626
2018,0902490,k,367
2018,0902520,k,345
2018,0902550,k,197
2018,0902580,k,141
2018,0902640,k,308
2018,0902670,k,850
2018,0902700,k,233
2018,0902730,k,112
2018,0902760,k,60
2018,0902790,k,1481
2018,0902820,k,261
2018,0902850,k,242
2018,0902880,k,247
2018,0902910,k,247
2018,0902940,k,10
2018,0902970,k,103
2018,0903000,k,31
2018,0903030,k,192
2018,0903060,k,53
2018,0903090,k,841
2018,0903120,k,363
2018,0903180,k,68
2018,0903210,k,149
