year,area_fips,area,avg_annual_pay,annual_avg_emplvl
2016,09000,Connecticut,65870,1666554
2016,09001,Fairfield County,85625,423640
2016,09003,Hartford County,65239,505543
2016,09005,Litchfield County,45196,60847
2016,09007,Middlesex County,53692,68781
2016,09009,New Haven County,55158,362092
2016,09011,New London County,53025,122159
2016,09013,Tolland County,47117,40495
2016,09015,Windham County,42700,38889
2017,09000,Connecticut,66636,1669616
2017,09001,Fairfield County,84987,420100
2017,09003,Hartford County,66420,507341
2017,09005,Litchfield County,46047,60552
2017,09007,Middlesex County,54647,68845
2017,09009,New Haven County,56219,363972
2017,09011,New London County,54342,123672
2017,09013,Tolland County,49139,40575
2017,09015,Windham County,43659,38772
2018,09000,Connecticut,67742,1673925
2018,09001,Fairfield County,86216,420677
2018,09003,Hartford County,67898,510811
2018,09005,Litchfield County,47419,61496
2018,09007,Middlesex County,55702,68827
2018,09009,New Haven County,56777,366907
2018,09011,New London County,55559,123881
2018,09013,Tolland County,50083,41068
2018,09015,Windham County,44509,38584
2019,09000,Connecticut,69771,1670704
2019,09001,Fairfield County,89148,417606
2019,09003,Hartford County,69951,512042
2019,09005,Litchfield County,48806,61417
2019,09007,Middlesex County,57719,69297
2019,09009,New Haven County,58525,368034
2019,09011,New London County,57127,122499
2019,09013,Tolland County,50387,40956
2019,09015,Windham County,46004,38897
2020,09000,Connecticut,75317,1545338
2020,09001,Fairfield County,96809,381279
2020,09003,Hartford County,74548,477795
2020,09005,Litchfield County,53581,56898
2020,09007,Middlesex County,61482,63936
2020,09009,New Haven County,63209,346832
2020,09011,New London County,63458,107630
2020,09013,Tolland County,55149,37916
2020,09015,Windham County,49394,35915
2021,09000,Connecticut,77840,1591093
2021,09001,Fairfield County,101154,394903
2021,09003,Hartford County,75446,485929
2021,09005,Litchfield County,55344,59035
2021,09007,Middlesex County,62529,66319
2021,09009,New Haven County,65705,357831
2021,09011,New London County,65661,111012
2021,09013,Tolland County,56707,38456
2021,09015,Windham County,50764,37102
2022,09000,Connecticut,81237,1642536
2022,09001,Fairfield County,104786,409269
2022,09003,Hartford County,78417,494767
2022,09005,Litchfield County,57874,60881
2022,09007,Middlesex County,65503,68151
2022,09009,New Haven County,68205,369789
2022,09011,New London County,68027,115502
2022,09013,Tolland County,59102,39954
2022,09015,Windham County,53392,38253
2023,09000,Connecticut,83769,1668508
2023,09001,Fairfield County,107840,415622
2023,09003,Hartford County,80740,500275
2023,09005,Litchfield County,60310,61254
2023,09007,Middlesex County,67904,70044
2023,09009,New Haven County,70431,374162
2023,09011,New London County,69988,118011
2023,09013,Tolland County,61109,40641
2023,09015,Windham County,56035,38426
