town_code,town,fiscal_year,ccd_year,grade_source,share_pk,share_k,share_el,share_ms,share_hs,county,wage_year,county_wage_ratio,wage_adjustment_factor,eqv_grand_list_year,equalized_valuation,income_vintage,aggregate_household_income,resident_students,frpl_count,ell_count,alliance_or_psd
1,Andover,2019,2018,local+region,0.0898561554268634,0.0534279843078647,0.2549971978329908,0.2460302634036988,0.3556883990285821,Tolland County,2017,0.737424215138964,1.0,2015,371631556.56,2015,128804200,440.52,62,4.0,0
2,Ansonia,2019,2018,local,0.0472885032537961,0.0759219088937093,0.3882863340563991,0.2290672451193058,0.2594360086767895,New Haven County,2017,0.8436730896212258,1.0,2015,1376772795.17,2015,437115100,2471.2,1658,91.0,1
3,Ashford,2019,2018,local+region,0.0729902083856389,0.0571227717800652,0.3332161687170474,0.1856490082852121,0.3510218428320361,Windham County,2017,0.6551863857374393,1.0,2015,442599628.13,2015,161218700,559.82,165,7.0,0
4,Avon,2019,2018,local,0.0184831102613129,0.0656469088591459,0.3648820905035054,0.2479286169534735,0.3030592734225621,Hartford County,2017,0.9967585089141004,1.0,2015,3687550799.84,2015,1209848400,3237.15,115,79.0,0
5,Barkhamsted,2019,2018,local+region,0.0370777336376186,0.0407855070013805,0.2669596821908545,0.2370382892401318,0.4181387879300143,Litchfield County,2017,0.6910228705204394,1.0,2015,502811081.1,2015,148204800,530.97,49,0.0,0
6,Beacon Falls,2019,2018,region,0.0207156308851224,0.065442561205273,0.3380414312617703,0.2532956685499059,0.3225047080979284,New Haven County,2017,0.8436730896212258,1.0,2015,675139685.47,2015,222784900,868.15,163,11.0,0
7,Berlin,2019,2018,local,0.0182992465016146,0.0678148546824542,0.3437387872264083,0.2457839971295299,0.3243631144599928,Hartford County,2017,0.9967585089141004,1.0,2015,3282737375.94,2015,826291200,2867.11,380,77.0,0
8,Bethany,2019,2018,local+region,0.0243209907822425,0.0588823987359557,0.3020923065583814,0.2460124331470741,0.3686918707763462,New Haven County,2017,0.8436730896212258,1.0,2015,835493140.53,2015,229645400,784.82,43,9.0,0
9,Bethel,2019,2018,local,0.0322372662798194,0.0560928433268858,0.3745970341715022,0.240167633784655,0.2969052224371373,Fairfield County,2017,1.2753916801728795,1.0917972267242932,2015,2795820302.47,2015,818554400,3032.46,627,157.0,0
10,Bethlehem,2019,2018,region,0.0121432908318154,0.0479659987856709,0.3163327261687917,0.2046144505160898,0.418943533697632,Litchfield County,2017,0.6910228705204394,1.0,2015,489510704.32,2015,146770600,354.47,53,0.0,0
11,Bloomfield,2019,2018,local,0.1469368954398894,0.0483648088438507,0.2888070013818516,0.2109626900046061,0.3049286043298019,Hartford County,2017,0.9967585089141004,1.0,2015,3020013609.5,2015,776296000,2267.74,1113,47.0,1
12,Bolton,2019,2018,local,0.0128040973111395,0.058898847631242,0.353393085787452,0.2407170294494238,0.3341869398207426,Tolland County,2017,0.737424215138964,1.0,2015,623371565.51,2015,243802900,740.92,73,5.0,0
13,Bozrah,2019,2018,local,0.1194029850746268,0.0845771144278607,0.4129353233830846,0.3830845771144278,0.0,New London County,2017,0.815505132360886,1.0,2015,335663370.37,2015,89691200,296.52,68,5.0,0
14,Branford,2019,2018,local,0.0473684210526315,0.0726315789473684,0.3403508771929824,0.2350877192982456,0.3045614035087719,New Haven County,2017,0.8436730896212258,1.0,2015,5185659054.87,2015,1205326800,2949.64,789,119.0,0
15,Bridgeport,2019,2018,local,0.0483428123161404,0.0772210237301431,0.4012551480682487,0.2179839184153755,0.2551970974700921,Fairfield County,2017,1.2753916801728795,1.0917972267242932,2015,8675714411.43,2015,2849023900,20862.79,11971,3455.0,1
16,Bridgewater,2019,2018,region,0.0600292825768667,0.0512445095168374,0.2752562225475842,0.2313323572474378,0.3821376281112738,Litchfield County,2017,0.6910228705204394,1.0,2015,547995101.34,2015,109847000,114.55,2,1.0,0
17,Bristol,2019,2018,local,0.0393057682491066,0.0617662072485962,0.3628126595201633,0.2436191934660541,0.2924961715160796,Hartford County,2017,0.9967585089141004,1.0,2015,5566370034.54,2015,1863133400,8254.79,3669,384.0,1
18,Brookfield,2019,2018,local,0.0168003054600992,0.0584192439862542,0.3329515082092402,0.2558228331424207,0.3360061092019855,Fairfield County,2017,1.2753916801728795,1.0917972267242932,2015,3334293606.06,2015,790868100,2697.39,289,97.0,0
19,Brooklyn,2019,2018,local,0.1285714285714285,0.1054945054945055,0.4725274725274725,0.2934065934065934,0.0,Windham County,2017,0.6551863857374393,1.0,2015,775936748.57,2015,217839800,1207.54,312,9.0,0
