"NAME","S1901_C01_001E","S1901_C01_012E","S1901_C01_013E","state","county","county subdivision"
"Andover town, Capitol Planning Region, Connecticut","1158","124167","147506","09","110","01080"
"Avon town, Capitol Planning Region, Connecticut","7579","146153","223038","09","110","02060"
"Berlin town, Capitol Planning Region, Connecticut","8221","106272","136504","09","110","04300"
"Bloomfield town, Capitol Planning Region, Connecticut","8984","90061","115679","09","110","05910"
"Bolton town, Capitol Planning Region, Connecticut","1917","114948","135654","09","110","06260"
"Canton town, Capitol Planning Region, Connecticut","4221","108059","150297","09","110","12270"
"Columbia town, Capitol Planning Region, Connecticut","2161","124311","129810","09","110","16400"
"Coventry town, Capitol Planning Region, Connecticut","4931","101916","130008","09","110","17800"
"East Granby town, Capitol Planning Region, Connecticut","1947","107478","133410","09","110","22070"
"East Hartford town, Capitol Planning Region, Connecticut","20086","64244","80586","09","110","22630"
"East Windsor town, Capitol Planning Region, Connecticut","5075","90480","108770","09","110","24800"
"Ellington town, Capitol Planning Region, Connecticut","6477","124495","146412","09","110","25360"
"Enfield town, Capitol Planning Region, Connecticut","16394","90741","104136","09","110","25990"
"Farmington town, Capitol Planning Region, Connecticut","11027","118329","155077","09","110","27600"
"Glastonbury town, Capitol Planning Region, Connecticut","14161","144134","172868","09","110","31240"
"Granby town, Capitol Planning Region, Connecticut","4277","116023","156026","09","110","32640"
"Hartford town, Capitol Planning Region, Connecticut","48277","41841","61201","09","110","37070"
"Hebron town, Capitol Planning Region, Connecticut","3528","136397","172066","09","110","37910"
"Manchester town, Capitol Planning Region, Connecticut","24900","85048","101215","09","110","44700"
"Mansfield town, Capitol Planning Region, Connecticut","6672","64194","99281","09","110","44910"
"Marlborough town, Capitol Planning Region, Connecticut","2096","134643","177130","09","110","45820"
"New Britain town, Capitol Planning Region, Connecticut","28575","53766","72419","09","110","50440"
"Newington town, Capitol Planning Region, Connecticut","12514","100239","115970","09","110","52140"
"Plainville town, Capitol Planning Region, Connecticut","8046","78900","95976","09","110","60120"
"Rocky Hill town, Capitol Planning Region, Connecticut","8768","96773","125311","09","110","65370"
"Simsbury town, Capitol Planning Region, Connecticut","9187","143874","193809","09","110","68940"
"Somers town, Capitol Planning Region, Connecticut","3430","105450","137037","09","110","69220"
"Southington town, Capitol Planning Region, Connecticut","17020","118790","144122","09","110","70550"
"South Windsor town, Capitol Planning Region, Connecticut","9865","134080","162960","09","110","71390"
"Stafford town, Capitol Planning Region, Connecticut","4693","92292","101783","09","110","72090"
"Suffield town, Capitol Planning Region, Connecticut","5307","121141","172212","09","110","74540"
"Tolland town, Capitol Planning Region, Connecticut","5319","132846","177534","09","110","76290"
"Vernon town, Capitol Planning Region, Connecticut","12980","79875","97588","09","110","78250"
"West Hartford town, Capitol Planning Region, Connecticut","26100","124150","162896","09","110","82590"
