town,res,frpl_share,alliance,B,B_pp,T,T_share,group,aid_ma,ecs,nce,adm,waf,diff,diff_pp
Andover,344.02,0.24707865821754552,0,4285368.703842104,13064.161103603445,3535429.180669736,0.825,5,2297366,2004783,8209287.0,332.06,1.0,292583,850.4825300854602
Ansonia,2482.23,0.6272585538004133,1,40053643.578020476,16550.409969755132,17140846.20732214,0.42794723965457704,10,22953486,20315773,48627561.0,2490.13,1.0,2637713,1062.6384339887923
Ashford,477.92,0.35361566789420823,0,6415650.77354586,13825.677045791543,5253530.38699507,0.8188616513631556,6,3720861,3459061,12744883.0,483.88,1.0,261800,547.7904251757616
Avon,3123.34,0.09989306319516927,0,38032933.363870464,12318.921073376754,31377170.025193132,0.825,2,7525280,909351,66207053.0,3059.97,1.0,6615929,2118.2224797812596
Barkhamsted,428.36,0.2474554113362592,0,5522046.834269547,13125.691683903226,4555688.638272376,0.825,5,1762436,1494242,10601237.0,420.32,1.0,268194,626.0948734709123
Beacon Falls,697.44,0.3211745813259922,0,9383386.869272074,13634.079760551795,7741294.167149461,0.825,6,4086855,4080375,,,1.0,6480,9.291121816930488
Berlin,2655.97,0.23795449496794016,0,34322594.36136524,13070.175736569276,28316140.34812632,0.825,4,7344457,6106640,61507765.0,2623.08,1.0,1237817,466.05082135716896
Bethany,782.97,0.13538194311404012,0,9616347.767564429,12495.68654041628,7933486.908240654,0.825,3,2294826,1764595,16051560.0,772.91,1.0,530231,677.2047460311378
Bethel,3217.57,0.3247792588817026,0,47235060.72010394,14872.580266361461,29848271.944934655,0.6319092532092542,6,17386789,8661581,59712761.0,3189.66,1.09578,8725208,2711.7383615585672
Bethlehem,353.07,0.2549069589599796,0,4620420.674050581,13266.97895173368,3811847.056091729,0.825,5,1366196,1218609,,,1.0,147587,418.01059280029455
Bloomfield,2306.54,0.56838381298395,1,34462519.69903222,16306.83508960608,28431578.75170158,0.825,10,7625839,8047844,61349993.0,2273.58,1.0,-422005,-182.96019145560015
Bolton,688.8,0.19599303135888502,0,8726471.798471665,12760.394406051468,6582292.0008287765,0.7542901819704023,4,3110440,2683218,15904707.0,679.37,1.0,427222,620.2409988385599
Bozrah,256.01,0.3320182805359166,0,3183560.2427457236,13171.448713029331,2626437.2002652218,0.825,6,1251826,1190094,6254520.0,254.33,1.0,61732,241.13120581227295
Branford,2664.56,0.35690695649563153,0,36485892.742229335,13983.3210141326,30100861.5123392,0.825,6,7197961,3772864,66696308.0,2591.44,1.0,3425097,1285.4268622211548
Bridgeport,19365.2,0.8591184186065726,1,409085469.49599683,21697.367318592536,110992206.48419361,0.27131789017326546,12,298093263,201710406,361665718.0,19751.77,1.09578,96382857,4977.116528618346
Bridgewater,125.72,0.11931275851097678,0,1541596.8284629248,12561.613541201214,1271817.383481913,0.8250000000000001,2,291568,137375,,,1.0,154193,1226.4794782055362
Bristol,7992.31,0.5662943504443646,1,126771600.96243007,16142.003059849158,63914190.32982523,0.5041680458761958,10,62857411,53867335,160692065.0,7903.53,1.0,8990076,1124.8407531739883
Brookfield,2605.04,0.2468292233516568,0,36668254.426237844,14180.113040316368,29604586.135180295,0.8073628428299776,5,7514598,1136394,54042727.0,2586.67,1.09578,6378204,2448.4092374781194
Brooklyn,1173.67,0.31865856671807236,0,14667436.424827049,13073.20644482514,8724185.900509013,0.5947996396794939,6,7053364,6969690,22398029.0,1136.3,1.0,83674,71.29261206301601
Burlington,1441.25,0.1228100607111882,0,17656768.09343647,12400.121412060842,14566833.677085085,0.825,3,4876345,4474565,,,1.0,401780,278.77189939288814
Canaan,100.0,0.31,0,1341726.6158097,13417.266158097,1106924.4580430025,0.8250000000000001,6,281543,125752,3723455.0,92.6,1.0,155791,1557.91
Canterbury,604.02,0.29138108009668556,0,7353724.754123173,12765.622335988588,6066822.922151617,0.825,5,4483517,4004836,12354597.0,636.36,1.0,478681,792.4919704645541
Canton,1503.64,0.14365140592163017,0,18499063.335756633,12476.843548162093,15261727.251999222,0.825,3,4048430,4068520,34823530.0,1445.61,1.0,-20090,-13.360910856321992
Chaplin,274.71,0.41862327545411526,0,3806132.0465297494,14178.865383458746,2560898.6935753864,0.6728349574498584,7,1795359,1643959,7500018.0,253.83,1.0,151400,551.1266426413309
Cheshire,4161.29,0.16028683413076233,0,51670197.356882334,12589.727047179898,42627912.81942792,0.825,3,11181261,9439993,88231457.0,4238.73,1.0,1741268,418.4442804995566
Chester,385.8,0.26179367547952304,0,5067658.475470359,13135.45483533012,4180818.242263046,0.825,5,1037778,947013,11802164.0,387.43,1.0,90765,235.26438569206843
Clinton,1449.96,0.3903555960164418,0,20497104.411847446,14458.828207872622,16910111.139774144,0.8250000000000001,7,6633172,5192085,36902910.0,1416.62,1.0,1441087,993.8805208419542
Colchester,2084.25,0.25524769101595296,0,26646676.09552545,13081.399967251527,19087720.86474617,0.7163265240407004,5,13359792,12040217,46062182.0,2059.41,1.0,1319575,633.1174283315341
Colebrook,151.71,0.3163931184496737,0,2068092.793353042,13631.881836088867,1706176.5545162596,0.825,6,551770,403912,4457906.0,144.68,1.0,147858,974.6094522444137
Columbia,614.32,0.2360333376741763,0,7316759.8182013035,12404.407127978799,6036326.850016075,0.825,4,2641068,2316189,13267269.0,594.46,1.0,324879,528.8432738637842
Cornwall,126.7,0.3788476716653512,0,1770872.7694198785,14028.59172530553,1460970.0347713996,0.8249999999999998,7,309903,25057,4840747.0,118.04,1.0,284846,2248.192580899763
Coventry,1611.8,0.263059932994168,0,20283070.189842235,13047.492754848601,15793554.813501185,0.7786570112748809,5,8764207,7952910,30926977.0,1586.87,1.0,811297,503.34843032634325
Cromwell,1938.44,0.254844101442397,0,25224896.23674638,13179.11057427729,20810539.395315763,0.8250000000000001,5,5706957,5631137,40608355.0,1879.61,1.0,75820,39.1139266626772
Danbury,11995.86,0.5268484293748009,1,210364341.7380705,17723.483239191934,106622071.41244306,0.5068447938063604,9,103742270,53201301,206716583.0,11855.68,1.09578,50540969,4213.200971001662
Darien,4633.86,0.014890393753803525,0,58539670.58826502,12769.402512708442,48295228.23531864,0.825,1,11612516,515629,121822654.0,4642.89,1.09578,11096887,2394.739374948747
Deep River,471.6,0.35411365564037317,0,6574928.414583201,13941.74812252587,5424315.94203114,0.825,6,1841434,1676105,13631922.0,442.53,1.0,165329,350.5703986429177
Derby,1461.7,0.5603064924403092,1,22881984.716013502,16005.28035830553,12061921.629217438,0.5271361631832636,10,11939946,10597862,34217917.0,1419.56,1.0,1342084,918.1665184374358
Durham,887.1,0.13978130988614587,0,10940071.243350936,12447.664475001011,9025558.775764521,0.825,3,4092318,3293232,,,1.0,799086,900.7845789651674
Eastford,205.98,0.23303233323623654,0,2426851.569711974,12424.51029375848,2002152.5450123784,0.825,4,1081560,947177,4739882.0,205.07,1.0,134383,652.4080007767744
East Granby,853.27,0.1277438559893117,0,10494981.858170228,12397.286378667422,7350689.414865775,0.700400392702284,3,3451213,1510101,20619391.0,880.21,1.0,1941112,2274.9094659369252
East Haddam,989.53,0.2698250684668479,0,12659317.42577351,13101.475089698253,10443936.876263145,0.825,5,3920537,3562048,23725577.0,943.99,1.0,358489,362.28209351914546
