town_code,grade,subject,fiscal_year,policy_year,delta_2018,exposure,delta_sd,delta_gcs,k,gcs_baseline,gcs_simulated,n_tests,town,resident_students,frpl_share,delta_nominal_per_student
1,3,mth,2023,1,0.0,1,0.0,0.0,2.6920003888777284,3.497912615803232,3.497912615803232,25.0,Andover,381.32,0.2097975453687192,0.0
1,3,rla,2023,1,0.0,1,0.0,0.0,3.456550469972804,4.137821115168416,4.137821115168416,34.0,Andover,381.32,0.2097975453687192,0.0
1,4,rla,2023,1,0.0,1,0.0,0.0,3.400948010767688,4.607834709244338,4.607834709244338,24.0,Andover,381.32,0.2097975453687192,0.0
1,5,rla,2023,1,0.0,1,0.0,0.0,3.365178662398829,6.12569787699433,6.12569787699433,24.5,Andover,381.32,0.2097975453687192,0.0
1,6,mth,2023,1,0.0,1,0.0,0.0,3.27765406051172,8.361706039893576,8.361706039893576,20.0,Andover,381.32,0.2097975453687192,0.0
1,3,mth,2024,2,0.0,2,0.0,0.0,2.6920003888777284,3.497912615803232,3.497912615803232,25.0,Andover,360.0,0.2222222222222222,0.0
1,3,rla,2024,2,0.0,2,0.0,0.0,3.456550469972804,4.137821115168416,4.137821115168416,34.0,Andover,360.0,0.2222222222222222,0.0
1,4,rla,2024,2,0.0,2,0.0,0.0,3.400948010767688,4.607834709244338,4.607834709244338,24.0,Andover,360.0,0.2222222222222222,0.0
1,5,rla,2024,2,0.0,2,0.0,0.0,3.365178662398829,6.12569787699433,6.12569787699433,24.5,Andover,360.0,0.2222222222222222,0.0
1,6,mth,2024,2,0.0,2,0.0,0.0,3.27765406051172,8.361706039893576,8.361706039893576,20.0,Andover,360.0,0.2222222222222222,0.0
1,3,mth,2025,3,0.0,3,0.0,0.0,2.6920003888777284,3.497912615803232,3.497912615803232,25.0,Andover,344.02,0.24707865821754552,0.0
1,3,rla,2025,3,0.0,3,0.0,0.0,3.456550469972804,4.137821115168416,4.137821115168416,34.0,Andover,344.02,0.24707865821754552,0.0
1,4,rla,2025,3,0.0,3,0.0,0.0,3.400948010767688,4.607834709244338,4.607834709244338,24.0,Andover,344.02,0.24707865821754552,0.0
1,5,rla,2025,3,0.0,3,0.0,0.0,3.365178662398829,6.12569787699433,6.12569787699433,24.5,Andover,344.02,0.24707865821754552,0.0
1,6,mth,2025,3,0.0,3,0.0,0.0,3.27765406051172,8.361706039893576,8.361706039893576,20.0,Andover,344.02,0.24707865821754552,0.0
2,3,mth,2023,1,164.3443355377159,1,0.0014092526772359136,0.003793708755146059,2.6920003888777284,1.333130747650036,1.336924456405182,181.0,Ansonia,2430.88,0.6680708220891199,199.42736786678074
2,3,rla,2023,1,164.3443355377159,1,0.0014092526772359136,0.004871153003810229,3.456550469972804,0.8643912307336484,0.8692623837374587,181.0,Ansonia,2430.88,0.6680708220891199,199.42736786678074
2,4,mth,2023,1,164.3443355377159,1,0.0014092526772359136,0.004054597115931617,2.877125714520011,2.2990958688755607,2.3031504659914925,181.66666666666663,Ansonia,2430.88,0.6680708220891199,199.42736786678074
2,4,rla,2023,1,164.3443355377159,1,0.0014092526772359136,0.004792795089314519,3.400948010767688,1.5008368040646898,1.5056295991540043,181.66666666666663,Ansonia,2430.88,0.6680708220891199,199.42736786678074
2,5,mth,2023,1,164.3443355377159,1,0.0014092526772359136,0.004338162884998954,3.078342837359557,2.523409155704712,2.527747318589711,187.33333333333331,Ansonia,2430.88,0.6680708220891199,199.42736786678074
2,5,rla,2023,1,164.3443355377159,1,0.0014092526772359136,0.00474238703936272,3.365178662398829,2.386893160039721,2.3916355470790838,187.66666666666663,Ansonia,2430.88,0.6680708220891199,199.42736786678074
2,6,mth,2023,1,164.3443355377159,1,0.0014092526772359136,0.004619042759829305,3.27765406051172,2.8653200534375203,2.8699390961973497,179.33333333333334,Ansonia,2430.88,0.6680708220891199,199.42736786678074
2,6,rla,2023,1,164.3443355377159,1,0.0014092526772359136,0.004684183094706197,3.3238773786782376,3.3042090491779903,3.3088932322726965,179.33333333333334,Ansonia,2430.88,0.6680708220891199,199.42736786678074
2,7,mth,2023,1,164.3443355377159,1,0.0014092526772359136,0.004915221804775595,3.4878215129001817,3.808966518739536,3.8138817405443115,187.0,Ansonia,2430.88,0.6680708220891199,199.42736786678074
2,7,rla,2023,1,164.3443355377159,1,0.0014092526772359136,0.004655584106952325,3.303583652637592,4.1735439036110416,4.178199487717994,188.66666666666663,Ansonia,2430.88,0.6680708220891199,199.42736786678074
