town_code,town,fiscal_year,policy_year,delta_2018,delta_nominal,delta_sd,delta_gcs,n_tests,frpl_share
1,Andover,2023,1,0.0,0.0,0.0,0.0,127.5,0.2097975453687192
1,Andover,2024,2,0.0,0.0,0.0,0.0,127.5,0.2222222222222222
1,Andover,2025,3,0.0,0.0,0.0,0.0,127.5,0.24707865821754552
2,Ansonia,2023,1,164.3443355377159,199.42736786678074,0.0010038120230378787,0.0032904200482407526,2209.333333333333,0.6680708220891199
2,Ansonia,2024,2,317.67123719703017,396.8651205345837,0.002944141796062003,0.009650674596732137,2209.333333333333,0.6416802137027929
2,Ansonia,2025,3,638.1384565266259,818.2251443258683,0.006841879146901545,0.022427163448863845,2209.333333333333,0.6272585538004133
3,Ashford,2023,1,0.0,0.0,0.0,0.0,468.99999999999994,0.31763568567877365
3,Ashford,2024,2,0.0,0.0,0.0,0.0,468.99999999999994,0.3522048020609012
3,Ashford,2025,3,0.0,0.0,0.0,0.0,468.99999999999994,0.35361566789420823
4,Avon,2023,1,0.0,0.0,0.0,0.0,2848.6666666666665,0.07636173095110292
4,Avon,2024,2,9.59849125248317,11.991348104028138,4.037031937242526e-05,0.00013243390220892264,2848.6666666666665,0.08215450180996638
4,Avon,2025,3,23.89652608815378,30.640276114672112,0.00014087678072078415,0.00046214303209668526,2848.6666666666665,0.09989306319516927
5,Barkhamsted,2023,1,0.0,0.0,0.0,0.0,239.66666666666669,0.2043082389518099
5,Barkhamsted,2024,2,63.79846953980154,79.70311548266294,0.00030228504849103363,0.000962271382182663,239.66666666666669,0.22334017641617976
5,Barkhamsted,2025,3,64.32455993219493,82.47735549537772,0.0006070627784040895,0.00193247777805285,239.66666666666669,0.2474554113362592
6,Beacon Falls,2023,1,85.34228374250868,103.56053318675278,0.00042705370955973155,0.0013998732433738602,1719.9999999999998,0.24048371581695752
6,Beacon Falls,2024,2,164.6664334530576,205.71696870313528,0.0012510463209863235,0.004100904012227312,1719.9999999999998,0.27050133849107905
6,Beacon Falls,2025,3,346.17037854060936,443.861837577426,0.002983286633906711,0.009779151995720459,1719.9999999999998,0.3211745813259922
7,Berlin,2023,1,12.249713826327422,14.864693556445419,5.762089414366077e-05,0.0001889285350904783,2301.6666666666665,0.1976093003139378
7,Berlin,2024,2,52.72826982782611,65.87316920927675,0.0003056471008945205,0.0010021618005906334,2301.6666666666665,0.208808602022694
7,Berlin,2025,3,164.0454449443586,210.3401017330768,0.001077293308463318,0.003532250751321275,2301.6666666666665,0.23795449496794016
8,Bethany,2023,1,0.0,0.0,0.0,0.0,501.8333333333333,0.11250678349724028
8,Bethany,2024,2,0.0,0.0,0.0,0.0,501.8333333333333,0.11802330008375847
8,Bethany,2025,3,0.0,0.0,0.0,0.0,501.8333333333333,0.13538194311404012
9,Bethel,2023,1,47.45049329404283,57.579879164375676,0.0002380596937177735,0.0007821369913097909,2849.0,0.3022498319941093
9,Bethel,2024,2,100.45628753828541,125.49954794179632,0.0007420500926203528,0.0024379802299976786,2849.0,0.29517668072719944
9,Bethel,2025,3,209.4695096247098,268.583123288693,0.001792961133638573,0.00589071255490222,2849.0,0.3247792588817026
10,Bethlehem,2023,1,45.03783842040172,54.65218829236027,0.00021460528792119693,0.0007041923633358244,1183.6666666666667,0.2838716789769596
10,Bethlehem,2024,2,90.21314355799854,112.70283834272011,0.0006444708926339345,0.002114726460755644,1183.6666666666667,0.32063793007304964
10,Bethlehem,2025,3,89.28922970808364,114.48721216755884,0.0010699340481011162,0.0035108146366945705,1183.6666666666667,0.2549069589599796
11,Bloomfield,2023,1,62.88028760751093,76.30351363947193,0.0003707191553563906,0.0012226329922201816,1410.1666666666667,0.548366442935481
11,Bloomfield,2024,2,122.4063647084719,152.92167182922427,0.0010923822688939093,0.0036026803114127463,1410.1666666666667,0.5829912614268805
11,Bloomfield,2025,3,277.61490327153695,355.9595758148569,0.002729098104189755,0.009000574513017074,1410.1666666666667,0.56838381298395
12,Bolton,2023,1,0.9733105126839188,1.1810857552621588,4.431007433093362e-06,1.4529730132523539e-05,629.3333333333333,0.20809606164142797
12,Bolton,2024,2,0.9477337231479266,1.183999097905449,8.745576234247845e-06,2.8677645988131924e-05,629.3333333333333,0.2015617511910467
12,Bolton,2025,3,0.9511045160457505,1.2195121951219512,1.3075490609287572e-05,4.287588156237045e-05,629.3333333333333,0.19599303135888502
13,Bozrah,2023,1,32.41297153417344,39.332256731888684,0.0001634625492525367,0.0005581136351236465,41.0,0.3680474706125362
13,Bozrah,2024,2,30.556323684303514,38.17386550027337,0.00031756179806580317,0.0010842579557540847,41.0,0.3681428831784217
13,Bozrah,2025,3,31.904817894491075,40.90855825944299,0.00047846166684127053,0.0016336217767872394,41.0,0.3320182805359166
14,Branford,2023,1,31.104928580055628,37.74498229043684,0.00015965813699857185,0.0005236354957774074,2258.333333333333,0.3313164108618654
14,Branford,2024,2,65.24319255043429,81.50800086294755,0.0004945441840001564,0.0016219711305730175,2258.333333333333,0.3701003548499885
14,Branford,2025,3,117.95175183941372,151.23847839793436,0.001099977400344966,0.003607628287549993,2258.333333333333,0.35690695649563153
15,Bridgeport,2023,1,186.4313003732913,226.22929716305444,0.0012946241328314668,0.004240543577357432,17086.666666666668,0.6601280736402241
15,Bridgeport,2024,2,377.8507541197213,472.0470962399375,0.0039185113444342706,0.01283509065917136,17086.666666666668,0.8066742195802737
15,Bridgeport,2025,3,801.9248335686982,1028.233067564497,0.009487271741299628,0.031075574932488973,17086.666666666668,0.8591184186065726
16,Bridgewater,2023,1,2.222980288900584,2.6975259377494014,9.505340755047964e-06,3.11763946137814e-05,554.5,0.12769353551476456
16,Bridgewater,2024,2,4.2151016709511815,5.265905870067876,2.752888234901253e-05,9.029148154771705e-05,554.5,0.126799433131946
16,Bridgewater,2025,3,9.044722519914554,11.597200127266943,6.620361555106155e-05,0.00021714003700318212,554.5,0.11931275851097678
17,Bristol,2023,1,130.5598742596388,158.4308457448615,0.0007687492982550174,0.002521282527752027,6712.666666666666,0.5419941712671393
17,Bristol,2024,2,254.98923365795645,318.5568005576807,0.002270150824173437,0.007445459295172752,6712.666666666666,0.5361157187473748
17,Bristol,2025,3,527.9034708103748,676.8811520073671,0.005378498048258656,0.017639968173505157,6712.666666666666,0.5662943504443646
18,Brookfield,2023,1,0.0,0.0,0.0,0.0,2241.1666666666665,0.20782072150509143
18,Brookfield,2024,2,0.0,0.0,0.0,0.0,2241.1666666666665,0.22451951299468623
18,Brookfield,2025,3,29.124614829165548,37.343764395172435,0.0001379302532666581,0.00045259747883339395,2241.1666666666665,0.2468292233516568
19,Brooklyn,2023,1,20.450831206319634,24.816525770845125,0.00010215059613560844,0.00033430504144447266,1092.3333333333333,0.29474110920622587
19,Brooklyn,2024,2,139.45280826288496,174.21771026065505,0.0007987084696579524,0.002613908074472568,1092.3333333333333,0.31567500892654266
19,Brooklyn,2025,3,318.6352072738165,408.55606771920554,0.0023902709858433786,0.007822564637068645,1092.3333333333333,0.31865856671807236
