fiscal_year,policy_year,delta_gcs,delta_sd,n_tests,subject
2019,1,0.0006685448268162385,0.00020403432449966164,426207.3333333333,all
2019,1,0.0006508362512894914,0.00020405942463212737,212779.33333333334,mth
2019,1,0.000686199581088706,0.00020400930065343415,213428.0,rla
2020,2,0.0025332833698238247,0.0007731261741769813,426207.3333333333,all
2020,2,0.002465247854058348,0.0007729176898416797,212779.33333333334,mth
2020,2,0.002601112106857238,0.0007733340248707791,213428.0,rla
2021,3,0.005467194722970931,0.0016685049696402664,426207.3333333333,all
2021,3,0.005319678335397041,0.0016678231961856306,212779.33333333334,mth
2021,3,0.005614262767481089,0.001669184670996985,213428.0,rla
2022,4,0.009283422760432054,0.0028331366804226995,426207.3333333333,all
2022,4,0.009032169537097538,0.0028317108247261904,212779.33333333334,mth
2022,4,0.00953391235579428,0.0028345582025497526,213428.0,rla
2023,5,0.013206443996570682,0.004030338089951028,426207.3333333333,all
2023,5,0.012847870853432714,0.004027907926906717,212779.33333333334,mth
2023,5,0.01356392733684531,0.004032760867058341,213428.0,rla
2024,6,0.016774821776705952,0.005119290118000538,426207.3333333333,all
2024,6,0.016318484797742117,0.0051158714443606925,212779.33333333334,mth
2024,6,0.017229771821495158,0.00512269840134654,213428.0,rla
2025,7,0.021314179966648288,0.006504510738540808,426207.3333333333,all
2025,7,0.020733564473164243,0.006499801160405997,212779.33333333334,mth
2025,7,0.021893030809211306,0.00650920600296631,213428.0,rla
