fiscal_year,policy_year,delta_gcs,delta_sd,n_tests,subject
2019,1,0.0010226938537420789,0.000312121100853122,426207.3333333333,all
2019,1,0.0009957668321056343,0.00031221416790062743,212779.33333333334,mth
2019,1,0.0010495390367192652,0.0003120283166620903,213428.0,rla
2020,2,0.003727643309044493,0.0011376279772639195,426207.3333333333,all
2020,2,0.003628151890628204,0.0011375078903038296,212779.33333333334,mth
2020,2,0.0038268323455486323,0.0011377476992465547,213428.0,rla
2021,3,0.007931946418962743,0.002420693647982891,426207.3333333333,all
2021,3,0.007719210195439962,0.0024200720065808306,212779.33333333334,mth
2021,3,0.008144036078318723,0.0024213134000449577,213428.0,rla
2022,4,0.013349203393506207,0.004073899139088053,426207.3333333333,all
2022,4,0.01299000181729392,0.00407242368508003,212779.33333333334,mth
2022,4,0.013707313256873393,0.004075370108783645,213428.0,rla
2023,5,0.018805063396269563,0.005738842821662933,426207.3333333333,all
2023,5,0.018297291499608653,0.005736119758301792,212779.33333333334,mth
2023,5,0.01931129203382841,0.005741557608882076,213428.0,rla
2024,6,0.023751440205904657,0.0072482731360488314,426207.3333333333,all
2024,6,0.023108745801465186,0.007244298260455086,212779.33333333334,mth
2024,6,0.024392181284458987,0.007252235930897305,213428.0,rla
2025,7,0.030038536390065332,0.009166769735878587,426207.3333333333,all
2025,7,0.02922445311341884,0.009161142996700343,212779.33333333334,mth
2025,7,0.030850145442685682,0.009172379373841681,213428.0,rla
