town_code,grade,subject,fiscal_year,policy_year,delta_2018,exposure,delta_sd,delta_gcs,k,gcs_baseline,gcs_simulated,n_tests,town,resident_students,frpl_share,delta_nominal_per_student
1,3,mth,2019,1,-1065.2885144176275,1,-0.009134849011131155,-0.024643865554864912,2.6977857570317187,3.497912615803232,3.473268750248367,25.0,Andover,440.52,0.14074275855806775,-1084.6045582493418
1,3,rla,2019,1,-1065.2885144176275,1,-0.009134849011131155,-0.03162653607215156,3.462184873949579,4.137821115168416,4.106194579096265,34.0,Andover,440.52,0.14074275855806775,-1084.6045582493418
1,4,rla,2019,1,-1065.2885144176275,1,-0.009134849011131155,-0.031114779825029366,3.406162464985994,4.607834709244338,4.576719929419309,24.0,Andover,440.52,0.14074275855806775,-1084.6045582493418
1,5,rla,2019,1,-1065.2885144176275,1,-0.009134849011131155,-0.030787255826871165,3.3703081232492997,6.12569787699433,6.094910621167459,24.5,Andover,440.52,0.14074275855806775,-1084.6045582493418
1,6,mth,2019,1,-1065.2885144176275,1,-0.009134849011131155,-0.029957494064032763,3.279473369239977,8.361706039893576,8.331748545829544,20.0,Andover,440.52,0.14074275855806775,-1084.6045582493418
1,3,mth,2020,2,-929.8134040002851,2,-0.017107998950433603,-0.04615371589979337,2.6977857570317187,3.497912615803232,3.4517588999034383,25.0,Andover,412.02,0.17717586524925974,-958.5335663317315
1,3,rla,2020,2,-929.8134040002851,2,-0.017107998950433603,-0.059231055189736495,3.462184873949579,4.137821115168416,4.078590059978679,34.0,Andover,412.02,0.17717586524925974,-958.5335663317315
1,4,rla,2020,2,-929.8134040002851,2,-0.017107998950433603,-0.058272623875986716,3.406162464985994,4.607834709244338,4.549562085368351,24.0,Andover,412.02,0.17717586524925974,-958.5335663317315
1,5,rla,2020,2,-929.8134040002851,2,-0.017107998950433603,-0.057659227835186865,3.3703081232492997,6.12569787699433,6.068038649159143,24.5,Andover,412.02,0.17717586524925974,-958.5335663317315
1,6,mth,2020,2,-929.8134040002851,2,-0.017107998950433603,-0.056105226958932476,3.279473369239977,8.361706039893576,8.305600812934644,20.0,Andover,412.02,0.17717586524925974,-958.5335663317315
1,3,mth,2021,3,-476.8651503558054,3,-0.02119711761473463,-0.057185281991157244,2.6977857570317187,3.497912615803232,3.4407273338120747,25.0,Andover,425.44,0.20449417074088003,-514.6060549078601
1,3,rla,2021,3,-476.8651503558054,3,-0.02119711761473463,-0.07338833997706441,3.462184873949579,4.137821115168416,4.064432775191351,34.0,Andover,425.44,0.20449417074088003,-514.6060549078601
1,4,rla,2021,3,-476.8651503558054,3,-0.02119711761473463,-0.07220082638520253,3.406162464985994,4.607834709244338,4.535633882859136,24.0,Andover,425.44,0.20449417074088003,-514.6060549078601
1,5,rla,2021,3,-476.8651503558054,3,-0.02119711761473463,-0.07144081768641095,3.3703081232492997,6.12569787699433,6.054257059307919,24.5,Andover,425.44,0.20449417074088003,-514.6060549078601
1,6,mth,2021,3,-476.8651503558054,3,-0.02119711761473463,-0.06951538272216984,3.279473369239977,8.361706039893576,8.292190657171407,20.0,Andover,425.44,0.20449417074088003,-514.6060549078601
1,3,mth,2022,4,-252.40944947946187,4,-0.023361528644021017,-0.06302439923832842,2.6977857570317187,3.497912615803232,3.4348882165649033,25.0,Andover,386.97,0.2377445279995865,-294.1520014471406
1,3,rla,2022,4,-252.40944947946187,4,-0.023361528644021017,-0.08088193110366938,3.462184873949579,4.137821115168416,4.056939184064746,34.0,Andover,386.97,0.2377445279995865,-294.1520014471406
1,4,rla,2022,4,-252.40944947946187,4,-0.023361528644021017,-0.07957316199195953,3.406162464985994,4.607834709244338,4.528261547252379,24.0,Andover,386.97,0.2377445279995865,-294.1520014471406
