town_code,town,fiscal_year,policy_year,delta_2018,delta_nominal,delta_sd,delta_gcs,n_tests,frpl_share
1,Andover,2019,1,-1065.2885144176275,-1084.6045582493418,-0.0050460213162460445,-0.016427029338115847,127.5,0.14074275855806775
1,Andover,2020,2,-929.8134040002851,-958.5335663317315,-0.009450328875388068,-0.030764996808680455,127.5,0.17717586524925974
1,Andover,2021,3,-476.8651503558054,-514.6060549078601,-0.011709127014205635,-0.038118382965765085,127.5,0.20449417074088003
1,Andover,2022,4,-252.40944947946187,-294.1520014471406,-0.012904731252172643,-0.04201060312556238,127.5,0.2377445279995865
1,Andover,2023,5,-74.48542187343557,-90.38602748347844,-0.008211529872907153,-0.026732158601623153,127.5,0.2097975453687192
1,Andover,2024,6,11.62210948109328,14.519444444444444,-0.0037521711127171176,-0.012214975143245996,127.5,0.2222222222222222
1,Andover,2025,7,216.29109767208038,277.3298064066043,-0.00046885287948716974,-0.0015263233196814118,127.5,0.24707865821754552
2,Ansonia,2019,1,3015.272599172997,3069.9461799935257,0.01841722672024742,0.06037027913841858,2209.333333333333,0.6709291032696666
2,Ansonia,2020,2,2735.0711155133567,2819.552244832041,0.03512298819741045,0.11513050438380903,2209.333333333333,0.5951227390180878
2,Ansonia,2021,3,2538.1241137195266,2739.000818267309,0.050625801196580236,0.165947555311551,2209.333333333333,0.6566493378548369
2,Ansonia,2022,4,2254.902031997674,2627.80948632159,0.06439869919812012,0.2110940754433703,2209.333333333333,0.6637158877252342
2,Ansonia,2023,5,2644.7600213219052,3209.344136905012,0.06213561553833478,0.2036758580141069,2209.333333333333,0.6825077958864616
2,Ansonia,2024,6,2860.4512574085893,3573.5477441121448,0.06290143502017355,0.206186156474918,2209.333333333333,0.6416802137027929
2,Ansonia,2025,7,2503.5851876403212,3210.1126809360935,0.06269047192766607,0.20549463538023663,2209.333333333333,0.6272585538004133
3,Ashford,2019,1,-955.959534478628,-973.2932013861597,-0.004895485837362767,-0.01606008075004338,468.99999999999994,0.2947375942267157
3,Ashford,2020,2,-498.23739418194197,-513.6269968473149,-0.0074469684251613185,-0.0244304484221617,468.99999999999994,0.36810680381140254
3,Ashford,2021,3,-167.68743355315027,-180.95884879409712,-0.008305698765155127,-0.027247590389473008,468.99999999999994,0.37810653059726146
3,Ashford,2022,4,11.470611648851182,13.36757946776872,-0.0082469575581819,-0.027054884586885434,468.99999999999994,0.36692286895060056
3,Ashford,2023,5,85.24842908769085,103.44664312348334,-0.002914912994006681,-0.00956263374429797,468.99999999999994,0.31763568567877365
3,Ashford,2024,6,-184.86565561490232,-230.951758005112,-0.001310130727965076,-0.004298001461601014,468.99999999999994,0.3522048020609012
3,Ashford,2025,7,-4.040522516358404,-5.180783394710412,-0.0004720919758899589,-0.0015487401059104402,468.99999999999994,0.35361566789420823
4,Avon,2019,1,-71.39106296007995,-72.68554129403951,-0.0003002638577484499,-0.0009850086645857312,2848.6666666666665,0.03552507606999984
4,Avon,2020,2,-61.68572700906676,-63.59108144428111,-0.0005597080177284906,-0.0018361092514922015,2848.6666666666665,0.07476293524961988
4,Avon,2021,3,-48.01779020710353,-51.81809902743714,-0.0007616661666945989,-0.002498628304258017,2848.6666666666665,0.07693829548701941
4,Avon,2022,4,-42.07009362358843,-49.02749190241412,-0.000938608883100442,-0.003079084807088621,2848.6666666666665,0.05712188661784181
4,Avon,2023,5,-31.10782304919329,-37.74849464977436,-0.0007691814993813804,-0.0025232821799166913,2848.6666666666665,0.07574692218202272
4,Avon,2024,6,272.3363179780109,340.22842802495444,0.0006356826900890647,0.0020853424130368127,2848.6666666666665,0.08215450180996638
4,Avon,2025,7,121.79437587989248,156.1655151216326,0.0013498961219637706,0.004428303114452526,2848.6666666666665,0.09989306319516927
5,Barkhamsted,2019,1,-119.34013834306079,-121.50403977625854,-0.0005654483526983838,-0.001800005559719647,239.66666666666669,0.09228393317889899
5,Barkhamsted,2020,2,-358.6722692310257,-369.7509714220087,-0.0022648819767173674,-0.007209854146263106,239.66666666666669,0.15695882701988784
5,Barkhamsted,2021,3,-611.0399590101391,-659.3999634124032,-0.0051600649642043386,-0.01642616090357021,239.66666666666669,0.1809053397564892
5,Barkhamsted,2022,4,98.40445593173897,114.67822509550396,-0.004693812467120503,-0.014941927935202643,239.66666666666669,0.19730489903866336
5,Barkhamsted,2023,5,139.71131133005755,169.53586497890294,-0.003466394621661718,-0.011034658711795039,239.66666666666669,0.2043082389518099
5,Barkhamsted,2024,6,737.7887603002315,921.7158842240622,0.001728773504959394,0.005503246946556759,239.66666666666669,0.22334017641617976
5,Barkhamsted,2025,7,497.2363130563854,637.5595293678215,0.0069799237137287045,0.022219361735115697,239.66666666666669,0.2474554113362592
6,Beacon Falls,2019,1,178.30129900253496,181.53429706847896,0.0008922216258952096,0.0029246840696873287,1719.9999999999998,0.18775557219374533
6,Beacon Falls,2020,2,127.81660933361636,131.764620572133,0.0015318173194433014,0.0050212655486263115,1719.9999999999998,0.22720955246969535
6,Beacon Falls,2021,3,-97.65933252226793,-105.38846002212868,0.001043128964763283,0.0034193552110010433,1719.9999999999998,0.26452671338276257
6,Beacon Falls,2022,4,899.6808089854578,1048.4667320198268,0.005545141449643218,0.018176859191977465,1719.9999999999998,0.26233310781890734
6,Beacon Falls,2023,5,1269.5402212334868,1540.552425450048,0.01100571280206614,0.03607649935122421,1719.9999999999998,0.24048371581695752
6,Beacon Falls,2024,6,1196.5990442714544,1494.905324531528,0.016353911649540167,0.053607784759189106,1719.9999999999998,0.27050133849107905
6,Beacon Falls,2025,7,1283.9101469541577,1646.2376691901811,0.02326730024604237,0.0762697298509827,1719.9999999999998,0.3211745813259922
7,Berlin,2019,1,-35.86554256199516,-36.515864407016124,-0.00016870636005619002,-0.0005531577727064716,2301.6666666666665,0.1325376424343677
7,Berlin,2020,2,-95.00974791882552,-97.94441779082238,-0.0006156185659299707,-0.002018502412435163,2301.6666666666665,0.17779533781114185
7,Berlin,2021,3,-10.717768026985338,-11.566012567010347,-0.0006660334071005409,-0.0021838035975474176,2301.6666666666665,0.19454905032168543
7,Berlin,2022,4,224.07765985898055,261.1348040378098,0.00038799571568138663,0.0012721680785151553,2301.6666666666665,0.20612238197213517
7,Berlin,2023,5,272.9131650293387,331.17268070065546,0.0018404463995249024,0.006034492302529445,2301.6666666666665,0.1976093003139378
7,Berlin,2024,6,514.2450948900536,642.4438780438869,0.0047062936594464136,0.015431089364354106,2301.6666666666665,0.208808602022694
7,Berlin,2025,7,693.409483833055,889.0940033208207,0.00801840710293721,0.02629091287511159,2301.6666666666665,0.23795449496794016
8,Bethany,2019,1,-314.9162553979326,-320.6263856680512,-0.0013648162825173837,-0.004349451911172161,501.8333333333333,0.054789633291710195
8,Bethany,2020,2,-492.7894948099836,-508.01082225620513,-0.0035005178058328946,-0.011155592189000819,501.8333333333333,0.1215543269419284
