fiscal_year,policy_year,delta_gcs,delta_sd,n_tests,subject
2019,1,0.02013823242197095,0.006146667671757849,426207.3333333333,all
2019,1,0.019577181566932333,0.006139773208315381,212779.33333333334,mth
2019,1,0.020697578088430903,0.006153541181020831,213428.0,rla
2020,2,0.04089622508556485,0.012481933975730775,426207.3333333333,all
2020,2,0.03975801826251659,0.012467506386511238,212779.33333333334,mth
2020,2,0.04203097258356727,0.012496317715520022,213428.0,rla
2021,3,0.0597649078332604,0.01824057238000082,426207.3333333333,all
2021,3,0.05810194885649645,0.0182192717395904,212779.33333333334,mth
2021,3,0.061422812618183234,0.018261808281879215,213428.0,rla
2022,4,0.08028856162263957,0.024504555663500287,426207.3333333333,all
2022,4,0.07805495167150431,0.02447615070247925,212779.33333333334,mth
2022,4,0.08251538301593965,0.02453287429399589,213428.0,rla
2023,5,0.08364118180331626,0.025527253827172053,426207.3333333333,all
2023,5,0.08132094760234658,0.025498954335473858,212779.33333333334,mth
2023,5,0.08595436417141945,0.025555467308895227,213428.0,rla
2024,6,0.09107403856657603,0.027795141090423553,426207.3333333333,all
2024,6,0.08855805242381251,0.02776670162758656,212779.33333333334,mth
2024,6,0.09358237793223155,0.02782349411787456,213428.0,rla
2025,7,0.09862153039362911,0.03009791288841677,426207.3333333333,all
2025,7,0.09590488438085198,0.0300685980134821,212779.33333333334,mth
2025,7,0.10132991976850671,0.0301271386673462,213428.0,rla
