fiscal_year,policy_year,delta_gcs,delta_sd,n_tests,subject
2019,1,0.027000814031068163,0.008240821924530175,426207.3333333333,all
2019,1,0.02625083560973689,0.008231557050659597,212779.33333333334,mth
2019,1,0.027748513060742122,0.00825005863988898,213428.0,rla
2020,2,0.05502371612346888,0.016792808240738494,426207.3333333333,all
2020,2,0.05349685160390103,0.01677330612674784,212779.33333333334,mth
2020,2,0.056545940079856846,0.01681225108241588,213428.0,rla
2021,3,0.0806545909601888,0.024614773181609286,426207.3333333333,all
2021,3,0.07841667961274268,0.024585792094756684,212779.33333333334,mth
2021,3,0.0828857006766678,0.024643666186930844,213428.0,rla
2022,4,0.10922892855948887,0.03333564178680105,426207.3333333333,all
2022,4,0.10619855713816281,0.033296998932178655,212779.33333333334,mth
2022,4,0.11225008984470988,0.0333741671951104,213428.0,rla
2023,5,0.11518086396835131,0.03515159922675697,426207.3333333333,all
2023,5,0.1119956469494007,0.0351133121724903,212779.33333333334,mth
2023,5,0.11835640023263858,0.03518976991608619,213428.0,rla
2024,6,0.12685909074739152,0.038714958337095796,426207.3333333333,all
2024,6,0.12336704735883468,0.03867687660292369,212779.33333333334,mth
2024,6,0.1303405208511651,0.03875292433035496,213428.0,rla
2025,7,0.13820964557478152,0.0421782381435155,426207.3333333333,all
2025,7,0.13441661951778228,0.0421393298087008,212779.33333333334,mth
2025,7,0.14199114357750028,0.04221702822514949,213428.0,rla
