town_code,grade,subject,fiscal_year,policy_year,delta_2018,exposure,delta_sd,delta_gcs,k,gcs_baseline,gcs_simulated,n_tests,town,resident_students,frpl_share,delta_nominal_per_student
1,3,mth,2019,1,221.67963026847067,1,0.0019009028295521359,0.0051282285790670455,2.6977857570317187,3.497912615803232,3.503040844382299,25.0,Andover,440.52,0.14074275855806775,225.6991737038046
1,3,rla,2019,1,221.67963026847067,1,0.0019009028295521359,0.00658127702332336,3.462184873949579,4.137821115168416,4.144402392191739,34.0,Andover,440.52,0.14074275855806775,225.6991737038046
1,4,rla,2019,1,221.67963026847067,1,0.0019009028295521359,0.006474783867606153,3.406162464985994,4.607834709244338,4.614309493111945,24.0,Andover,440.52,0.14074275855806775,225.6991737038046
1,5,rla,2019,1,221.67963026847067,1,0.0019009028295521359,0.006406628247947142,3.3703081232492997,6.12569787699433,6.132104505242277,24.5,Andover,440.52,0.14074275855806775,225.6991737038046
1,6,mth,2019,1,221.67963026847067,1,0.0019009028295521359,0.006233960207029149,3.279473369239977,8.361706039893576,8.367940000100605,20.0,Andover,440.52,0.14074275855806775,225.6991737038046
1,3,mth,2020,2,313.3504250033954,2,0.0045878827239562514,0.012377124667621059,2.6977857570317187,3.497912615803232,3.510289740470853,25.0,Andover,412.02,0.17717586524925974,323.0292218824329
1,3,rla,2020,2,313.3504250033954,2,0.0045878827239562514,0.015884098170335925,3.462184873949579,4.137821115168416,4.1537052133387515,34.0,Andover,412.02,0.17717586524925974,323.0292218824329
1,4,rla,2020,2,313.3504250033954,2,0.0045878827239562514,0.015627073928097483,3.406162464985994,4.607834709244338,4.623461783172436,24.0,Andover,412.02,0.17717586524925974,323.0292218824329
1,5,rla,2020,2,313.3504250033954,2,0.0045878827239562514,0.015462578413064879,3.3703081232492997,6.12569787699433,6.1411604554073955,24.5,Andover,412.02,0.17717586524925974,323.0292218824329
1,6,mth,2020,2,313.3504250033954,2,0.0045878827239562514,0.015045839214410692,3.279473369239977,8.361706039893576,8.376751879107987,20.0,Andover,412.02,0.17717586524925974,323.0292218824329
1,3,mth,2021,3,355.4718289677154,3,0.00763605365735441,0.02060043679674069,2.6977857570317187,3.497912615803232,3.5185130525999724,25.0,Andover,425.44,0.20449417074088003,383.6052087250846
1,3,rla,2021,3,355.4718289677154,3,0.00763605365735441,0.0264374294691598,3.462184873949579,4.137821115168416,4.164258544637575,34.0,Andover,425.44,0.20449417074088003,383.6052087250846
1,4,rla,2021,3,355.4718289677154,3,0.00763605365735441,0.02600963934829961,3.406162464985994,4.607834709244338,4.633844348592638,24.0,Andover,425.44,0.20449417074088003,383.6052087250846
1,5,rla,2021,3,355.4718289677154,3,0.00763605365735441,0.02573585367094909,3.3703081232492997,6.12569787699433,6.151433730665279,24.5,Andover,425.44,0.20449417074088003,383.6052087250846
1,6,mth,2021,3,355.4718289677154,3,0.00763605365735441,0.025042234615381315,3.279473369239977,8.361706039893576,8.386748274508957,20.0,Andover,425.44,0.20449417074088003,383.6052087250846
1,3,mth,2022,4,361.892281024859,4,0.010739279967142577,0.02897227653613331,2.6977857570317187,3.497912615803232,3.526884892339365,25.0,Andover,386.97,0.2377445279995865,421.7407034137013
1,3,rla,2022,4,361.892281024859,4,0.010739279967142577,0.037181372659350766,3.462184873949579,4.137821115168416,4.175002487827767,34.0,Andover,386.97,0.2377445279995865,421.7407034137013
1,4,rla,2022,4,361.892281024859,4,0.010739279967142577,0.03657973232505706,3.406162464985994,4.607834709244338,4.6444144415693955,24.0,Andover,386.97,0.2377445279995865,421.7407034137013
1,5,rla,2022,4,361.892281024859,4,0.010739279967142577,0.0361946825111091,3.3703081232492997,6.12569787699433,6.161892559505439,24.5,Andover,386.97,0.2377445279995865,421.7407034137013
1,6,mth,2022,4,361.892281024859,4,0.010739279967142577,0.03521918265705646,3.279473369239977,8.361706039893576,8.396925222550633,20.0,Andover,386.97,0.2377445279995865,421.7407034137013
1,3,mth,2023,5,352.6981760333825,4,0.011862763997076696,0.03200319575034217,2.6977857570317187,3.497912615803232,3.529915811553574,25.0,Andover,381.32,0.2097975453687192,427.9896150215043
1,3,rla,2023,5,352.6981760333825,4,0.011862763997076696,0.041071082073912586,3.462184873949579,4.137821115168416,4.1788921972423285,34.0,Andover,381.32,0.2097975453687192,427.9896150215043
1,4,rla,2023,5,352.6981760333825,5,0.013763666826628832,0.04688128532543601,3.406162464985994,4.607834709244338,4.6547159945697745,24.0,Andover,381.32,0.2097975453687192,427.9896150215043
1,5,rla,2023,5,352.6981760333825,5,0.013763666826628832,0.046387798111484066,3.3703081232492997,6.12569787699433,6.172085675105814,24.5,Andover,381.32,0.2097975453687192,427.9896150215043
1,6,mth,2023,5,352.6981760333825,5,0.013763666826628832,0.04513757882102096,3.279473369239977,8.361706039893576,8.406843618714598,20.0,Andover,381.32,0.2097975453687192,427.9896150215043
1,3,mth,2024,6,362.87352007344646,4,0.012287424537302383,0.03314883890733643,2.6977857570317187,3.497912615803232,3.531061454710568,25.0,Andover,360.0,0.2222222222222222,453.3361111111111
1,3,rla,2024,6,362.87352007344646,4,0.012287424537302383,0.04254133537284522,3.462184873949579,4.137821115168416,4.180362450541261,34.0,Andover,360.0,0.2222222222222222,453.3361111111111
1,4,rla,2024,6,362.87352007344646,5,0.014974404431706497,0.051005254310798595,3.406162464985994,4.607834709244338,4.6588399635551365,24.0,Andover,360.0,0.2222222222222222,453.3361111111111
1,5,rla,2024,6,362.87352007344646,6,0.016875307261258632,0.05687498514494786,3.3703081232492997,6.12569787699433,6.182572862139278,24.5,Andover,360.0,0.2222222222222222,453.3361111111111
1,6,mth,2024,6,362.87352007344646,6,0.016875307261258632,0.0553421207610397,3.279473369239977,8.361706039893576,8.417048160654616,20.0,Andover,360.0,0.2222222222222222,453.3361111111111
1,3,mth,2025,7,369.9825320068883,4,0.012411853815863292,0.03348452244279578,2.6977857570317187,3.497912615803232,3.5313971382460276,25.0,Andover,344.02,0.24707865821754552,474.3939305854311
1,3,rla,2025,7,369.9825320068883,4,0.012411853815863292,0.04297213253895525,3.462184873949579,4.137821115168416,4.1807932477073715,34.0,Andover,344.02,0.24707865821754552,474.3939305854311
1,4,rla,2025,7,369.9825320068883,5,0.015460024749261449,0.052659356008688846,3.406162464985994,4.607834709244338,4.660494065253027,24.0,Andover,344.02,0.24707865821754552,474.3939305854311
1,5,rla,2025,7,369.9825320068883,6,0.018147004643665567,0.061160997163188825,3.3703081232492997,6.12569787699433,6.186858874157519,24.5,Andover,344.02,0.24707865821754552,474.3939305854311
1,6,mth,2025,7,369.9825320068883,7,0.0200479074732177,0.06574657866740458,3.279473369239977,8.361706039893576,8.42745261856098,20.0,Andover,344.02,0.24707865821754552,474.3939305854311
2,3,mth,2019,1,3409.0053961398194,1,0.029232221271898947,0.07886227019372861,2.6977857570317187,1.333130747650036,1.4119930178437647,181.0,Ansonia,2471.2,0.6709291032696666,3470.8182259630953
2,3,rla,2019,1,3409.0053961398194,1,0.029232221271898947,0.10120735431951566,3.462184873949579,0.8643912307336484,0.9655985850531641,181.0,Ansonia,2471.2,0.6709291032696666,3470.8182259630953
2,4,mth,2019,1,3409.0053961398194,1,0.029232221271898947,0.08418040021566593,2.8797127468581696,2.2990958688755607,2.3832762690912266,181.66666666666663,Ansonia,2471.2,0.6709291032696666,3470.8182259630953
2,4,rla,2019,1,3409.0053961398194,1,0.029232221271898947,0.09956969486450733,3.406162464985994,1.5008368040646898,1.600406498929197,181.66666666666663,Ansonia,2471.2,0.6709291032696666,3470.8182259630953
2,5,mth,2019,1,3409.0053961398194,1,0.029232221271898947,0.0900583333978072,3.0807899461400368,2.523409155704712,2.613467489102519,187.33333333333331,Ansonia,2471.2,0.6709291032696666,3470.8182259630953
2,5,rla,2019,1,3409.0053961398194,1,0.029232221271898947,0.098521592813302,3.3703081232492997,2.386893160039721,2.485414752853023,187.66666666666663,Ansonia,2471.2,0.6709291032696666,3470.8182259630953
2,6,mth,2019,1,3409.0053961398194,1,0.029232221271898947,0.09586629118492297,3.279473369239977,2.8653200534375203,2.961186344622443,179.33333333333334,Ansonia,2471.2,0.6709291032696666,3470.8182259630953
2,6,rla,2019,1,3409.0053961398194,1,0.029232221271898947,0.0974079843838963,3.332212885154061,3.3042090491779903,3.4016170335618865,179.33333333333334,Ansonia,2471.2,0.6709291032696666,3470.8182259630953
2,7,mth,2019,1,3409.0053961398194,1,0.029232221271898947,0.10209410134219171,3.49251944943148,3.808966518739536,3.9110606200817277,187.0,Ansonia,2471.2,0.6709291032696666,3470.8182259630953
