town_code,town,fiscal_year,policy_year,delta_2018,delta_nominal,delta_sd,delta_gcs,n_tests,frpl_share
1,Andover,2019,1,221.67963026847067,225.6991737038046,0.0010500443068456075,0.0034183582576909673,127.5,0.14074275855806775
1,Andover,2020,2,313.3504250033954,323.0292218824329,0.0025343116228095717,0.008250304303270777,127.5,0.17717586524925974
1,Andover,2021,3,355.4718289677154,383.6052087250846,0.0042180981294881415,0.013731773486779822,127.5,0.20449417074088003
1,Andover,2022,4,361.892281024859,421.7407034137013,0.005932296808551761,0.019312247731245825,127.5,0.2377445279995865
1,Andover,2023,5,352.6981760333825,427.9896150215043,0.007117042317459916,0.023226043868633174,127.5,0.2097975453687192
1,Andover,2024,6,362.87352007344646,453.3361111111111,0.007951396071696638,0.025992909754937028,127.5,0.2222222222222222
1,Andover,2025,7,369.9825320068883,474.3939305854311,0.00844358770157027,0.02762120699787811,127.5,0.24707865821754552
2,Ansonia,2019,1,3409.0053961398194,3470.8182259630953,0.020822139029311612,0.0682534001754209,2209.333333333333,0.6709291032696666
2,Ansonia,2020,2,3236.3491407137735,3336.313791989664,0.04058969698966031,0.13304996320188112,2209.333333333333,0.5951227390180878
2,Ansonia,2021,3,3151.935795119084,3401.391868621281,0.059841659867674375,0.19615644446327743,2209.333333333333,0.6566493378548369
2,Ansonia,2022,4,2819.1046330130966,3285.317850816768,0.07706069644451398,0.2525991467456806,2209.333333333333,0.6637158877252342
2,Ansonia,2023,5,2667.900138127238,3237.4240373866337,0.08994446449954753,0.2955064780682095,2209.333333333333,0.6825077958864616
2,Ansonia,2024,6,2942.980540065059,3676.651172669569,0.10125693122921017,0.3336912327213263,2209.333333333333,0.6416802137027929
2,Ansonia,2025,7,2742.3920544216007,3516.312348170798,0.10806788317009632,0.35726488139228757,2209.333333333333,0.6272585538004133
3,Ashford,2019,1,223.8667398964462,227.92594048086883,0.0011464255704268286,0.003760951996725195,468.99999999999994,0.2947375942267157
3,Ashford,2020,2,282.7232650116513,291.4560473431143,0.0025942564563987518,0.00851069118780865,468.99999999999994,0.36810680381140254
3,Ashford,2021,3,340.59904757245835,367.55533937814323,0.004338470257791089,0.014232741138787867,468.99999999999994,0.37810653059726146
3,Ashford,2022,4,331.841547038417,386.7202889034799,0.006037836742650853,0.019807665442004223,468.99999999999994,0.36692286895060056
3,Ashford,2023,5,325.57359342132446,395.0746739795214,0.007547440854185224,0.02478748123363241,468.99999999999994,0.31763568567877365
3,Ashford,2024,6,322.60267561952725,403.0259423994204,0.008793827423542625,0.02894168260481448,468.99999999999994,0.3522048020609012
3,Ashford,2025,7,326.78541788551894,419.00631904921323,0.009767757429565708,0.03222816554322757,468.99999999999994,0.35361566789420823
4,Avon,2019,1,13.389275618440626,13.632052886026289,5.6313989215965334e-05,0.00018473674364626267,2848.6666666666665,0.03552507606999984
4,Avon,2020,2,18.041969712302883,18.59925173973666,0.00013219675664619677,0.0004336684131851942,2848.6666666666665,0.07476293524961988
4,Avon,2021,3,21.452726498519297,23.150576095114577,0.00022242483493198597,0.0007296595443418405,2848.6666666666665,0.07693829548701941
4,Avon,2022,4,20.18685391955569,23.525282019370383,0.00030732877643905644,0.0010081849675115102,2848.6666666666665,0.05712188661784181
4,Avon,2023,5,19.41654501508377,23.561447693074747,0.00037967530049583725,0.0012473791306464193,2848.6666666666665,0.07574692218202272
4,Avon,2024,6,138.24334529696415,172.70673410182025,0.0009391745035646939,0.003086604426833155,2848.6666666666665,0.08215450180996638
4,Avon,2025,7,113.6020124926073,145.66121523753418,0.0013804386819489612,0.004539372042284312,2848.6666666666665,0.09989306319516927
5,Barkhamsted,2019,1,53.2715953510445,54.23752754392903,0.0002524074151001226,0.0008034946928867126,239.66666666666669,0.09228393317889899
5,Barkhamsted,2020,2,84.63294507754746,87.24709530463412,0.0006534087885068145,0.0020800121646287837,239.66666666666669,0.15695882701988784
5,Barkhamsted,2021,3,131.32636063594865,141.72002357867348,0.0012756493466164816,0.004060805739736954,239.66666666666669,0.1809053397564892
5,Barkhamsted,2022,4,125.57802647520279,146.34566139120943,0.0018706535856881244,0.005954897274843084,239.66666666666669,0.19730489903866336
5,Barkhamsted,2023,5,127.59623861772387,154.8345547412836,0.0024060628383782115,0.007667364518670142,239.66666666666669,0.2043082389518099
5,Barkhamsted,2024,6,383.1239850177533,478.6349177702078,0.004048817652538335,0.012911192664141282,239.66666666666669,0.22334017641617976
5,Barkhamsted,2025,7,386.2832747165064,495.29484545709215,0.00554689727010057,0.01770000757385735,239.66666666666669,0.2474554113362592
6,Beacon Falls,2019,1,183.49537551140008,186.82255370615678,0.0009182128408425436,0.0030098827356936767,1719.9999999999998,0.18775557219374533
6,Beacon Falls,2020,2,205.80952450190188,212.16658811017248,0.0019480859242304344,0.0063857854412150685,1719.9999999999998,0.22720955246969535
6,Beacon Falls,2021,3,235.50762287716586,254.14658340857932,0.0031265686126330204,0.010248827363915731,1719.9999999999998,0.26452671338276257
6,Beacon Falls,2022,4,541.5183425280544,631.0726662708659,0.005836332247140198,0.01913137661451188,1719.9999999999998,0.26233310781890734
6,Beacon Falls,2023,5,640.7448971644998,777.5264532087398,0.008895641398888224,0.02918883105440407,1719.9999999999998,0.24048371581695752
6,Beacon Falls,2024,6,623.0100889359551,778.323452325891,0.011695295610607684,0.038419347143275,1719.9999999999998,0.27050133849107905
6,Beacon Falls,2025,7,706.8795618523852,906.3654221151639,0.01471386055303272,0.04838297490719998,1719.9999999999998,0.3211745813259922
7,Berlin,2019,1,30.460789087611495,31.013110763102915,0.00014328317611611162,0.00046979973096627375,2301.6666666666665,0.1325376424343677
7,Berlin,2020,2,45.34132290963058,46.74182988090535,0.00035656224571317246,0.0011691033912664829,2301.6666666666665,0.17779533781114185
7,Berlin,2021,3,58.45443706056902,63.080741432152806,0.0006315235205517166,0.0020706518943552996,2301.6666666666665,0.19454905032168543
7,Berlin,2022,4,154.28790300554,179.80347234129488,0.0013572716525303218,0.004450249320898425,2301.6666666666665,0.20612238197213517
7,Berlin,2023,5,151.4338148931265,183.76080326316338,0.002046457599306687,0.006714574286498132,2301.6666666666665,0.1976093003139378
7,Berlin,2024,6,267.2485641465571,333.8723220854109,0.003245730776925051,0.010656806949595412,2301.6666666666665,0.208808602022694
7,Berlin,2025,7,380.11494649214677,487.38577619476126,0.004930310552305951,0.016195093116341718,2301.6666666666665,0.23795449496794016
8,Bethany,2019,1,76.70040615616648,78.09115465966718,0.0003324120663931907,0.0010593442619278946,501.8333333333333,0.054789633291710195
8,Bethany,2020,2,114.38058084547787,117.9135787946516,0.0008281263284100666,0.0026391065874093356,501.8333333333333,0.1215543269419284
8,Bethany,2021,3,142.77114957904183,154.07059623608805,0.0014468825414641622,0.004610983995300318,501.8333333333333,0.11378052129788263
8,Bethany,2022,4,133.77962036245873,155.90360489121804,0.0020266703453962307,0.006458675295725968,501.8333333333333,0.10984066486686782
8,Bethany,2023,5,128.49932967213982,155.93043109952217,0.0025005536681990477,0.00797773704538829,501.8333333333333,0.11250678349724028
8,Bethany,2024,6,119.67153588805732,149.50506358029392,0.0028097235241640543,0.008980002472206686,501.8333333333333,0.11802330008375847
8,Bethany,2025,7,117.3459406770086,150.46170351354456,0.002949224329855284,0.009443300210950523,501.8333333333333,0.13538194311404012
9,Bethel,2019,1,61.622469725314936,62.73982179484643,0.00030916066937459997,0.001015736817937095,2849.0,0.2067628262202964
9,Bethel,2020,2,143.28806721021877,147.71396226908956,0.0010280386203812527,0.003377585768250654,2849.0,0.28857668221883404
9,Bethel,2021,3,264.5318267092572,285.4678720784052,0.0023551979663287695,0.007737922462032439,2849.0,0.31332580752751626
9,Bethel,2022,4,249.90175050255792,291.22958838136805,0.0036089580445542004,0.011857108369118873,2849.0,0.3242302394592455
9,Bethel,2023,5,277.32692719347824,336.5286606795476,0.004955059598080155,0.016288991055628775,2849.0,0.3022498319941093
9,Bethel,2024,6,533.0863985351075,665.9822263945287,0.007475327500444685,0.024597893218209207,2849.0,0.29517668072719944
9,Bethel,2025,7,462.3076198749369,592.7737391882694,0.009434857035924116,0.03109518517399411,2849.0,0.3247792588817026
10,Bethlehem,2019,1,130.4262914308096,132.79120941123367,0.0006214812434764532,0.002039289664536471,1183.6666666666667,0.1495190001974779
10,Bethlehem,2020,2,162.78365658948275,167.81173321436538,0.0013971453232033855,0.004584505240297059,1183.6666666666667,0.2621012714699978
10,Bethlehem,2021,3,194.84683235051156,210.26774473323448,0.0023255904267804,0.007631046907786396,1183.6666666666667,0.2294155498978821
10,Bethlehem,2022,4,602.6173306836946,702.2759817150411,0.005197061844891231,0.017053313543235013,1183.6666666666667,0.2753758880872391
10,Bethlehem,2023,5,541.0752334506693,656.5800352772573,0.0076736009839658064,0.025200081548155305,1183.6666666666667,0.2838716789769596
10,Bethlehem,2024,6,493.76642719811656,616.859978810015,0.009802178106781533,0.03222359915392387,1183.6666666666667,0.32063793007304964
10,Bethlehem,2025,7,488.7095405547857,626.6264480131418,0.011754611178785382,0.038683227821719755,1183.6666666666667,0.2549069589599796
11,Bloomfield,2019,1,1062.2653153175713,1081.5265418434212,0.006262727405398843,0.020654495556780866,1410.1666666666667,0.4907970049476572
11,Bloomfield,2020,2,1174.2228517741576,1210.4923557102802,0.01318551545826219,0.04348587329727435,1410.1666666666667,0.5624962485959031
11,Bloomfield,2021,3,1466.3486377320532,1582.4009932782465,0.021830570198328115,0.07199729223000488,1410.1666666666667,0.5642847968489104
11,Bloomfield,2022,4,1320.9764751521357,1539.434735236435,0.029618563888350078,0.09768212100414692,1410.1666666666667,0.5979516234473742
11,Bloomfield,2023,5,1217.42636419797,1477.3136816018082,0.03590931927167856,0.11862181341805161,1410.1666666666667,0.5493234900148785
11,Bloomfield,2024,6,1227.1165661445743,1533.0307151191585,0.04128736386873243,0.13670759545893682,1410.1666666666667,0.5829912614268805
11,Bloomfield,2025,7,1324.2843066753953,1698.0056708316354,0.04595164946286532,0.15257559104927088,1410.1666666666667,0.56838381298395
12,Bolton,2019,1,124.25192283606073,126.50488581763214,0.000565658324335311,0.0018548519549807688,629.3333333333333,0.09852615667008585
12,Bolton,2020,2,159.80026365407687,164.73618896232466,0.0012931508838361458,0.004240375049350002,629.3333333333333,0.16453331102373184
12,Bolton,2021,3,194.60961720358796,210.01175548589345,0.0021791134303647975,0.007145537566668983,629.3333333333333,0.1875279892521272
12,Bolton,2022,4,183.54607365833112,213.90025229128952,0.0030147090661835213,0.009885541791822052,629.3333333333333,0.20240318143592229
12,Bolton,2023,5,173.8819230909821,211.00097017758466,0.003719871877489794,0.012215340690414406,629.3333333333333,0.20809606164142797
12,Bolton,2024,6,195.79219703968693,244.6022326840132,0.0044068742011865196,0.014503204190407144,629.3333333333333,0.2015617511910467
12,Bolton,2025,7,199.5739970839072,255.8950348432056,0.004960900007593293,0.016368787156681126,629.3333333333333,0.19599303135888502
13,Bozrah,2019,1,240.2544723068396,244.610818831782,0.0012116324623675228,0.004136902312474238,41.0,0.22932685822204238
13,Bozrah,2020,2,275.9091907318245,284.43149930735626,0.0026030759969930973,0.008887737367538838,41.0,0.33388981636060105
13,Bozrah,2021,3,307.17268239099326,331.4834857249487,0.004152185114354743,0.014176893352486716,41.0,0.3470796790445979
13,Bozrah,2022,4,294.43166402656635,343.12369620644364,0.005637039729788762,0.01924666383410145,41.0,0.3669937417909294
13,Bozrah,2023,5,303.3953791636388,368.1620159987982,0.007167099448541823,0.02447077905495399,41.0,0.3680474706125362
13,Bozrah,2024,6,286.01658444897504,357.31911791507196,0.008609515796368513,0.0293956516629519,41.0,0.3681428831784217
13,Bozrah,2025,7,298.63890486068055,382.9166829420726,0.010115588037941457,0.034537865933723474,41.0,0.3320182805359166
14,Branford,2019,1,380.94919966671887,387.8566536933321,0.0019553698492940415,0.0064130841040218245,2258.333333333333,0.26749026999905073
14,Branford,2020,2,366.2380757278929,377.5504712489823,0.003835229136485908,0.012578513992817793,2258.333333333333,0.33704996757144634
14,Branford,2021,3,336.31870659980467,362.93623609505727,0.005561515631415325,0.018240266670254423,2258.333333333333,0.35029674482066286
14,Branford,2022,4,313.34287283178475,365.1623715861164,0.007169869728398552,0.023515232987611434,2258.333333333333,0.3634103371746276
14,Branford,2023,5,402.65370463045565,488.60928618882406,0.008925518903330184,0.02933543320532067,2258.333333333333,0.3310696095076401
