fiscal_year,policy_year,delta_gcs,delta_sd,n_tests,subject
2019,1,0.023952309281421228,0.007311231398079066,426207.3333333333,all
2019,1,0.023287794751298288,0.007304580818882894,212779.33333333334,mth
2019,1,0.024614804168267716,0.0073178617643273654,213428.0,rla
2020,2,0.04930270768137582,0.015048745390875052,426207.3333333333,all
2020,2,0.04793729202059279,0.015035124848614651,212779.33333333334,mth
2020,2,0.050663973466672514,0.015062324536543884,213428.0,rla
2021,3,0.07387585492720174,0.02254900423901959,426207.3333333333,all
2021,3,0.07183202139201214,0.022528902638510394,212779.33333333334,mth
2021,3,0.07591347668752349,0.02256904474521034,213428.0,rla
2022,4,0.09752595230855474,0.029767406125345855,426207.3333333333,all
2022,4,0.09482949724038488,0.029740995037840806,212779.33333333334,mth
2022,4,0.10021421210468485,0.029793736942258033,213428.0,rla
2023,5,0.11713328816634193,0.035678669303705966,426207.3333333333,all
2023,5,0.11425835175256555,0.03564542922732602,212779.33333333334,mth
2023,5,0.11999948685395116,0.035711808354308865,213428.0,rla
2024,6,0.1365402659851394,0.041475200159954116,426207.3333333333,all
2024,6,0.13372903546949633,0.041434287082214034,212779.33333333334,mth
2024,6,0.139342952394443,0.04151598889154579,213428.0,rla
2025,7,0.15188411426098128,0.04601156857337577,426207.3333333333,all
2025,7,0.14931996243902945,0.045962820980012954,212779.33333333334,mth
2025,7,0.1544404729170168,0.04606016800933235,213428.0,rla
