fiscal_year,policy_year,delta_gcs,delta_sd,n_tests,subject
2019,1,0.0326347175196966,0.009961158321918163,426207.3333333333,all
2019,1,0.03173297460871961,0.009952771575935373,212779.33333333334,mth
2019,1,0.033533719784796516,0.009969519578262476,213428.0,rla
2020,2,0.06721643967846432,0.02051600008357432,426207.3333333333,all
2020,2,0.0653624935556663,0.02049889454779384,212779.33333333334,mth
2020,2,0.06906475114671062,0.02053305363090494,213428.0,rla
2021,3,0.10088168001520023,0.03079109300205545,426207.3333333333,all
2021,3,0.09810234682269939,0.030765949077118274,212779.33333333334,mth
2021,3,0.10365256604614058,0.030816160507656933,213428.0,rla
2022,4,0.13348950587171457,0.04074329106894977,426207.3333333333,all
2022,4,0.12981440364467792,0.04071031423571389,212779.33333333334,mth
2022,4,0.13715343844757483,0.040776167676477224,213428.0,rla
2023,5,0.16068800895670504,0.04894472952439773,426207.3333333333,all
2023,5,0.15675963902182002,0.04890299651065611,212779.33333333334,mth
2023,5,0.1646044394898663,0.048986335699978865,213428.0,rla
2024,6,0.1876627734793429,0.0570047452245313,426207.3333333333,all
2024,6,0.18381050416091355,0.05695311860075132,212779.33333333334,mth
2024,6,0.1915033346868501,0.057056214940736094,213428.0,rla
2025,7,0.20899250285325174,0.06331404917790465,426207.3333333333,all
2025,7,0.205471486962579,0.0632523243795888,212779.33333333334,mth
2025,7,0.21250281740370164,0.06337558637750253,213428.0,rla
