town_code,town,fiscal_year,policy_year,delta_2018,delta_nominal,delta_sd,delta_gcs,n_tests,frpl_share
1,Andover,2019,1,-144.8626496133073,-147.4893307908835,-0.00124219722043411,-0.004043900908246203,127.5,0.14074275855806775
1,Andover,2020,2,102.06322781423869,105.21576622494054,-0.00036700504192701335,-0.0011947635995038907,127.5,0.17717586524925974
1,Andover,2021,3,317.32418518771055,342.4384166980068,0.0023540498460576046,0.007663472558087347,127.5,0.20449417074088003
1,Andover,2022,4,408.8825526972004,476.50205442282345,0.0058602177354360975,0.019077598494841874,127.5,0.2377445279995865
1,Andover,2023,5,481.116696852836,583.8219867827546,0.011227990631383276,0.036552071414362904,127.5,0.2097975453687192
1,Andover,2024,6,574.6974159860758,717.9666666666667,0.015280828794956782,0.0497458506798826,127.5,0.2222222222222222
1,Andover,2025,7,663.2961756494836,850.4825300854602,0.01824753861316648,0.05940380219596195,127.5,0.24707865821754552
2,Ansonia,2019,1,1764.4063151369883,1796.3989155066365,0.015129784152299673,0.049594290522263954,2209.333333333333,0.6709291032696666
2,Ansonia,2020,2,1600.0224009456456,1649.4440406976744,0.028849976240408578,0.09456804464786499,2209.333333333333,0.5951227390180878
2,Ansonia,2021,3,1405.0503783295362,1516.2513586901212,0.04089828323458435,0.1340614856220216,2209.333333333333,0.6566493378548369
2,Ansonia,2022,4,1243.2420569191647,1448.8448831064416,0.05155908387266619,0.16900678548372552,2209.333333333333,0.6637158877252342
2,Ansonia,2023,5,1127.835058881019,1368.5970766476428,0.04610048535027126,0.15111391151811066,2209.333333333333,0.6825077958864616
2,Ansonia,2024,6,1072.2326654770252,1339.535016705742,0.041574688368627835,0.13627869059935796,2209.333333333333,0.6416802137027929
2,Ansonia,2025,7,828.75777506223,1062.6384339887923,0.0366329792956107,0.12008014123628141,2209.333333333333,0.6272585538004133
3,Ashford,2019,1,-345.23524266841673,-351.49512343253184,-0.002960392205881673,-0.009711832381455949,468.99999999999994,0.2947375942267157
3,Ashford,2020,2,-109.54757692338691,-112.93129260087711,-0.003899762677999716,-0.012793521541147048,468.99999999999994,0.36810680381140254
3,Ashford,2021,3,102.16534203506518,110.25109210381409,-0.0030236948700490323,-0.009919502453844176,468.99999999999994,0.37810653059726146
3,Ashford,2022,4,186.4628956879562,217.29944768452356,-0.001424775539524808,-0.0046741040574190965,468.99999999999994,0.36692286895060056
3,Ashford,2023,5,265.9018066304831,322.66458855327795,0.0038157246582132586,0.012517827273267945,468.99999999999994,0.31763568567877365
3,Ashford,2024,6,344.0102838270567,429.7703624690563,0.007704983314148313,0.025276889427101233,468.99999999999994,0.3522048020609012
3,Ashford,2025,7,427.2248767296567,547.7904251757616,0.010492368824154436,0.0344211578121804,468.99999999999994,0.35361566789420823
4,Avon,2019,1,1498.6373561008813,1525.8109757039372,0.012850815328565055,0.04215680348792513,2848.6666666666665,0.03552507606999984
4,Avon,2020,2,1620.4653976113937,1670.5184825332333,0.026746306113082752,0.08774064073046042,2848.6666666666665,0.07476293524961988
4,Avon,2021,3,1645.1374846773276,1775.3398631440443,0.040853360044190844,0.1340185059990831,2848.6666666666665,0.07693829548701941
4,Avon,2022,4,1636.6850534469067,1907.3540440061909,0.05488793437749806,0.1800586036176967,2848.6666666666665,0.05712188661784181
4,Avon,2023,5,1659.0663371352941,2013.2317408368597,0.05626361288986815,0.1845714852696209,2848.6666666666665,0.07574692218202272
4,Avon,2024,6,1659.758849176677,2073.5286000359424,0.05660055423704047,0.18567681359288501,2848.6666666666665,0.08215450180996638
4,Avon,2025,7,1652.0137925378594,2118.2224797812596,0.05665951857694452,0.1858702447508758,2848.6666666666665,0.09989306319516927
5,Barkhamsted,2019,1,-187.54613045319545,-190.9467578205925,-0.0016082080686361507,-0.005119448046699281,239.66666666666669,0.09228393317889899
5,Barkhamsted,2020,2,-26.871315171230396,-27.70131883697338,-0.0018386295962294515,-0.0058529545265886525,239.66666666666669,0.15695882701988784
5,Barkhamsted,2021,3,158.31417072733834,170.84375063520133,-0.0004810855822425255,-0.0015314514908480418,239.66666666666669,0.1809053397564892
5,Barkhamsted,2022,4,239.48836620151195,279.0940766550523,0.0015725271579354395,0.005005864131686269,239.66666666666669,0.19730489903866336
5,Barkhamsted,2023,5,327.8023903675554,397.77925827226295,0.005991640723973377,0.019073336341909115,239.66666666666669,0.2043082389518099
5,Barkhamsted,2024,6,405.29273427632603,506.3302276265031,0.009697447447986172,0.030870121449933983,239.66666666666669,0.22334017641617976
5,Barkhamsted,2025,7,488.29496253764745,626.0948734709123,0.012527032737759574,0.039877609453015765,239.66666666666669,0.2474554113362592
6,Beacon Falls,2019,1,-447.3558197944679,-455.4673731498013,-0.0038360761547375616,-0.012574578439086239,1719.9999999999998,0.18775557219374533
6,Beacon Falls,2020,2,-332.39282184554366,-342.6598020376346,-0.0066863446020630985,-0.021917699565366246,1719.9999999999998,0.22720955246969535
6,Beacon Falls,2021,3,-181.591582151026,-195.96342409482267,-0.008243492419008147,-0.027021997961852846,1719.9999999999998,0.26452671338276257
6,Beacon Falls,2022,4,-109.52350560928906,-127.63610255843815,-0.009182656479607799,-0.030100558363370476,1719.9999999999998,0.26233310781890734
6,Beacon Falls,2023,5,-80.3391360988415,-97.48935000687096,-0.006035488416917805,-0.01978420642744552,1719.9999999999998,0.24048371581695752
6,Beacon Falls,2024,6,-20.729008570226576,-25.89664886683766,-0.0033629712180819607,-0.011023750224023918,1719.9999999999998,0.27050133849107905
6,Beacon Falls,2025,7,7.246198893755305,9.291121816930488,-0.0017436872456229606,-0.005715770792569208,1719.9999999999998,0.3211745813259922
7,Berlin,2019,1,-130.81099792060604,-133.18289148306133,-0.001121704307169197,-0.0036778664182091844,2301.6666666666665,0.1325376424343677
7,Berlin,2020,2,-0.8815037570959122,-0.9087317265902806,-0.0011292632018862943,-0.0037026506727235956,2301.6666666666665,0.17779533781114185
7,Berlin,2021,3,121.02749819087532,130.60607035952236,-9.145240489953837e-05,-0.00029985596622456994,2301.6666666666665,0.19454905032168543
7,Berlin,2022,4,202.68867628288902,236.20858855418828,0.0016466029942262346,0.005398914685342188,2301.6666666666665,0.20612238197213517
7,Berlin,2023,5,283.8158650748239,344.4028097805418,0.005202028344412047,0.01705651412070354,2301.6666666666665,0.1976093003139378
7,Berlin,2024,6,357.1074454396488,446.1325823159178,0.008271783583774135,0.02712168872582211,2301.6666666666665,0.208808602022694
7,Berlin,2025,7,363.47569353770047,466.05082135716896,0.01035077685887316,0.03393833327403287,2301.6666666666665,0.23795449496794016
8,Bethany,2019,1,-69.86291614541037,-71.12968578782396,-0.0005990745059468937,-0.0019091549450297879,501.8333333333333,0.054789633291710195
8,Bethany,2020,2,102.19821757733612,105.3549255643127,0.0002772752097787634,0.000883631889904232,501.8333333333333,0.1215543269419284
8,Bethany,2021,3,259.5456781625569,280.08710095078663,0.0025028794000226885,0.007976277634805736,501.8333333333333,0.11378052129788263
8,Bethany,2022,4,331.49483186676093,386.31623524429625,0.005345447583280163,0.017035089268047605,501.8333333333333,0.10984066486686782
8,Bethany,2023,5,403.1410548567079,489.20067239348253,0.009401456634623327,0.02996094349918029,501.8333333333333,0.11250678349724028
8,Bethany,2024,6,457.32025345797746,571.3279524861036,0.012446628092299827,0.03966541946865515,501.8333333333333,0.11802330008375847
8,Bethany,2025,7,528.1558436350213,677.2047460311378,0.014749960261226207,0.047005771890098046,501.8333333333333,0.13538194311404012
9,Bethel,2019,1,774.372927966811,788.4140268956556,0.006640247857315403,0.02181630749651008,2849.0,0.2067628262202964
9,Bethel,2020,2,1008.7331397221803,1039.8909821422728,0.015290134530433099,0.05023521467070606,2849.0,0.28857668221883404
9,Bethel,2021,3,1722.814954337138,1859.1650203966442,0.03006327276387405,0.09877185566884777,2849.0,0.31332580752751626
9,Bethel,2022,4,1743.3934247847533,2031.709455679264,0.045012871381403315,0.14788825123081675,2849.0,0.3242302394592455
9,Bethel,2023,5,2226.558633410964,2701.868161195623,0.05746536380558691,0.18880048969864177,2849.0,0.3022498319941093
9,Bethel,2024,6,2223.308030988131,2777.5678323572865,0.06788034349819246,0.2230185496907054,2849.0,0.29517668072719944
9,Bethel,2025,7,2114.9002136505433,2711.7383615585672,0.07124247459680488,0.2340647165608322,2849.0,0.3247792588817026
10,Bethlehem,2019,1,-111.30312404763475,-113.32129658363189,-0.0009544242887084679,-0.0031317881399899328,1183.6666666666667,0.1495190001974779
10,Bethlehem,2020,2,62.561245130179714,64.49364265001115,-0.00041796161171717676,-0.0013714730796700843,1183.6666666666667,0.2621012714699978
10,Bethlehem,2021,3,233.08716947821992,251.53456620876815,0.0015807608665585587,0.005187009794928305,1183.6666666666667,0.2294155498978821
10,Bethlehem,2022,4,257.5409926152816,300.1321804262819,0.0037891748782345985,0.012433561346244923,1183.6666666666667,0.2753758880872391
10,Bethlehem,2023,5,256.1615069047831,310.8450005512072,0.0069401840886515785,0.022773085801911046,1183.6666666666667,0.2838716789769596
10,Bethlehem,2024,6,248.54700803086493,310.50855963865496,0.008535012005524959,0.028006254335527996,1183.6666666666667,0.32063793007304964
10,Bethlehem,2025,7,326.0088453052036,418.01059280029455,0.009331815375741341,0.03062083505635657,1183.6666666666667,0.2549069589599796
11,Bloomfield,2019,1,26.445528227955155,26.925044317249775,0.00022677040455471546,0.0007478895391881548,1410.1666666666667,0.4907970049476572
11,Bloomfield,2020,2,37.19892080609172,38.34792450888761,0.0005457511504669519,0.0017998890870949262,1410.1666666666667,0.5624962485959031
