fiscal_year,policy_year,delta_gcs,delta_sd,n_tests,subject
2019,1,0.023082471359911493,0.0070466406339423715,426207.3333333333,all
2019,1,0.022441780271888225,0.007041406962027258,212779.33333333334,mth
2019,1,0.023721215210681768,0.007051858399282359,213428.0,rla
2020,2,0.04947316647898725,0.015102257470302943,426207.3333333333,all
2020,2,0.04810604510708208,0.015091541273810823,212779.33333333334,mth
2020,2,0.050836132791278674,0.015112941097312807,213428.0,rla
2021,3,0.07684693176256417,0.023457969948460552,426207.3333333333,all
2021,3,0.07472870351662707,0.0234423040975761,212779.33333333334,mth
2021,3,0.07895872212755063,0.02347358818649535,213428.0,rla
2022,4,0.1033701291185391,0.03155382520281699,426207.3333333333,all
2022,4,0.10052609858084807,0.03153364552797789,212779.33333333334,mth
2022,4,0.10620551586156032,0.03157394354604818,213428.0,rla
2023,5,0.10733150568482491,0.03276159115309534,426207.3333333333,all
2023,5,0.1043898523961939,0.032742046771339836,212779.33333333334,mth
2023,5,0.11026421847627081,0.03278107613407417,213428.0,rla
2024,6,0.10943855744634248,0.03340433670834901,426207.3333333333,all
2024,6,0.1064452671413533,0.033385676492938963,212779.33333333334,mth
2024,6,0.11242275031498546,0.03342294021020821,213428.0,rla
2025,7,0.10954267247568208,0.03343589998182083,426207.3333333333,all
2025,7,0.10654979018997116,0.03341787861445662,212779.33333333334,mth
2025,7,0.1125264585651301,0.03345386657726994,213428.0,rla
