fiscal_year,policy_year,delta_gcs,delta_sd,n_tests,subject
2019,1,0.029896666299842792,0.009126797902846205,426207.3333333333,all
2019,1,0.029075474766252787,0.009122464069829828,212779.33333333334,mth
2019,1,0.03071536200544964,0.009131118564146513,213428.0,rla
2020,2,0.06435693129979927,0.019645798224899556,426207.3333333333,all
2020,2,0.06259506337612496,0.019636902098693308,212779.33333333334,mth
2020,2,0.0661134444200122,0.019654667313320072,213428.0,rla
2021,3,0.10045543050589892,0.030664651040149756,426207.3333333333,all
2021,3,0.09771272339492464,0.030652048155609835,212779.33333333334,mth
2021,3,0.10318980177209502,0.030677215621041108,213428.0,rla
2022,4,0.1356269603968396,0.04140050567346602,426207.3333333333,all
2022,4,0.1319305211099674,0.04138479794031906,212779.33333333334,mth
2022,4,0.1393121651833147,0.04141616566647155,213428.0,rla
2023,5,0.1423009805087882,0.04343633750637983,426207.3333333333,all
2023,5,0.13843534433000187,0.04342168416527629,212779.33333333334,mth
2023,5,0.1461548679510702,0.043450946311930715,213428.0,rla
2024,6,0.14657110415777908,0.04473943030144978,426207.3333333333,all
2024,6,0.14259651221440592,0.044725981883301416,212779.33333333334,mth
2024,6,0.15053361621797254,0.0447528378461393,213428.0,rla
2025,7,0.14793595785373806,0.04515604825796088,426207.3333333333,all
2025,7,0.1439272637741117,0.04514331598845449,212779.33333333334,mth
2025,7,0.15193246840436955,0.045168741830582074,213428.0,rla
